"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2018","132.07","134.43","134.77","130.86","","-2.01%"
"07/18/2018","134.77","134.33","135.12","132.10","","0.93%"
"07/17/2018","133.53","136.01","136.21","133.46","","-1.32%"
"07/16/2018","135.32","138.19","138.44","135.32","","-2.22%"
"07/13/2018","138.39","141.01","141.51","137.84","","-1.55%"
"07/12/2018","140.57","140.75","142.43","137.47","","2.26%"
"07/11/2018","137.47","135.89","139.02","134.82","","-1.95%"
"07/10/2018","140.20","140.96","141.06","138.77","","-0.44%"
"07/09/2018","140.82","140.70","141.10","138.17","","1.92%"
"07/06/2018","138.17","140.51","140.66","137.38","","-1.77%"
"07/05/2018","140.66","140.45","142.26","139.21","","-1.75%"
"07/03/2018","143.17","143.55","146.21","142.09","","-0.73%"
"07/02/2018","144.23","147.27","147.99","144.23","","-2.40%"
"06/29/2018","147.77","146.73","149.63","146.56","","0.78%"
"06/28/2018","146.62","147.80","148.91","146.01","","-0.64%"
"06/27/2018","147.56","146.60","148.94","144.04","","0.63%"
"06/26/2018","146.63","147.45","147.60","144.45","","0.36%"
"06/25/2018","146.11","151.89","151.94","146.11","","-3.53%"
"06/22/2018","151.46","149.26","152.59","149.21","","1.84%"
"06/21/2018","148.72","150.50","150.67","148.39","","0.11%"
"06/20/2018","148.56","146.90","149.06","145.39","","2.18%"
"06/19/2018","145.39","148.22","149.21","144.84","","-2.14%"
"06/18/2018","148.57","150.60","152.10","148.17","","-1.40%"
"06/15/2018","150.68","150.82","152.81","150.00","","-0.65%"
"06/14/2018","151.66","154.84","155.04","149.93","","-2.18%"
"06/13/2018","155.04","150.87","155.29","150.61","","2.72%"
"06/12/2018","150.94","151.27","152.75","150.44","","-0.54%"
"06/11/2018","151.76","153.67","153.72","151.41","","-0.87%"
"06/08/2018","153.09","153.54","154.04","151.67","","-0.65%"
"06/07/2018","154.09","155.31","157.25","152.77","","-0.73%"
"06/06/2018","155.23","155.88","156.83","155.13","","-0.76%"
"06/05/2018","156.42","152.75","157.02","151.53","","1.70%"
"06/04/2018","153.80","153.44","153.92","151.40","","0.27%"
"06/01/2018","153.39","154.76","154.81","150.16","","1.47%"
"05/31/2018","151.17","150.21","152.57","149.88","","0.59%"
"05/30/2018","150.28","147.72","150.82","145.95","","1.51%"
"05/29/2018","148.05","148.71","149.26","146.86","","0.81%"
"05/25/2018","146.86","148.84","149.56","145.95","","-0.81%"
"05/24/2018","148.06","144.83","148.09","144.39","","1.72%"
"05/23/2018","145.56","144.78","146.35","143.61","","-0.89%"
"05/22/2018","146.87","145.50","147.35","144.73","","0.73%"
"05/21/2018","145.81","145.01","146.59","144.53","","-0.53%"
"05/18/2018","146.59","146.15","147.79","145.04","","1.07%"
"05/17/2018","145.04","144.36","146.48","143.74","","0.83%"
"05/16/2018","143.85","142.97","145.38","142.74","","0.36%"
"05/15/2018","143.34","142.57","145.70","141.18","","-0.53%"
"05/14/2018","144.10","139.73","144.21","139.73","","3.13%"
"05/11/2018","139.73","138.21","140.48","137.19","","1.25%"
"05/10/2018","138.00","138.26","138.54","137.14","","-0.33%"
"05/09/2018","138.45","138.11","138.45","136.92","","0.28%"
"05/08/2018","138.06","138.69","140.35","136.67","","-1.02%"
"05/07/2018","139.48","139.48","139.48","139.48","","0.00%"
"05/04/2018","139.48","139.07","139.62","137.37","","1.83%"
"05/03/2018","136.98","138.74","141.20","136.98","","-1.48%"
"05/02/2018","139.04","138.35","139.68","135.76","","2.42%"
"05/01/2018","135.76","136.26","137.54","134.86","","-0.01%"
"04/30/2018","135.77","137.64","138.44","135.77","","-1.72%"
"04/27/2018","138.14","141.48","142.18","137.35","","-2.46%"
"04/26/2018","141.63","139.82","142.08","138.54","","0.63%"
"04/25/2018","140.74","140.93","141.72","138.81","","1.15%"
"04/24/2018","139.14","142.04","143.58","139.09","","-1.97%"
"04/23/2018","141.94","147.58","147.83","137.72","","-3.82%"
"04/20/2018","147.58","151.22","151.22","144.61","","-1.63%"
"04/19/2018","150.03","152.77","166.02","147.51","","-1.31%"
"04/18/2018","152.02","141.37","157.85","141.37","","7.46%"
"04/17/2018","141.47","140.57","142.26","138.14","","-0.83%"
"04/16/2018","142.66","139.32","143.03","138.52","","2.80%"
"04/13/2018","138.77","139.08","140.13","136.54","","1.63%"
"04/12/2018","136.54","136.64","138.03","134.70","","-1.08%"
"04/11/2018","138.03","135.95","138.20","135.25","","1.23%"
"04/10/2018","136.35","133.60","137.17","133.52","","1.94%"
"04/09/2018","133.75","131.02","134.31","130.37","","1.23%"
"04/06/2018","132.12","130.91","132.74","128.92","","-0.42%"
"04/05/2018","132.68","131.78","134.09","131.71","","1.34%"
"04/04/2018","130.93","134.16","134.80","129.59","","-2.37%"
"04/03/2018","134.11","135.08","135.96","132.49","","1.22%"
"04/02/2018","132.49","132.49","132.49","132.49","","0.00%"
"03/29/2018","132.49","129.88","133.21","129.78","","1.31%"
"03/28/2018","130.78","129.32","130.86","128.45","","1.01%"
"03/27/2018","129.47","130.39","131.64","128.77","","0.33%"
"03/26/2018","129.05","128.86","129.75","127.70","","0.03%"
"03/23/2018","129.01","130.79","132.16","128.84","","-1.85%"
"03/22/2018","131.44","135.03","135.41","130.19","","-2.01%"
"03/21/2018","134.14","134.06","135.21","131.69","","0.04%"
"03/20/2018","134.09","134.88","135.63","133.33","","-0.18%"
"03/19/2018","134.33","134.44","135.79","133.16","","-1.08%"
"03/16/2018","135.79","135.40","137.40","134.73","","-0.04%"
"03/15/2018","135.85","137.71","137.91","134.81","","-1.49%"
"03/14/2018","137.91","137.55","139.88","137.19","","-0.32%"
"03/13/2018","138.35","137.24","138.48","135.79","","1.47%"
"03/12/2018","136.34","137.09","138.22","136.29","","-1.36%"
"03/09/2018","138.22","131.51","138.58","130.84","","4.47%"
"03/08/2018","132.31","134.95","135.52","131.00","","-2.35%"
"03/07/2018","135.50","135.25","136.40","133.14","","-0.66%"
"03/06/2018","136.40","133.88","136.60","133.63","","1.84%"
"03/05/2018","133.93","133.87","134.26","131.87","","-0.17%"
"03/02/2018","134.16","133.22","134.81","132.77","","-0.07%"
"03/01/2018","134.26","136.43","137.98","132.91","","-2.41%"
"02/28/2018","137.58","137.52","138.51","136.97","","-0.39%"
"02/27/2018","138.12","138.49","139.99","136.73","","-0.59%"
"02/26/2018","138.94","137.75","140.26","137.15","","1.16%"
"02/23/2018","137.35","136.56","138.33","136.51","","-0.48%"
"02/22/2018","138.01","134.31","138.16","134.06","","-0.11%"
"02/21/2018","138.16","136.16","138.16","133.81","","1.73%"
"02/20/2018","135.81","135.98","137.65","134.46","","-2.25%"
"02/16/2018","138.93","140.95","142.12","137.93","","-1.62%"
"02/15/2018","141.22","141.13","143.89","139.72","","0.35%"
"02/14/2018","140.73","134.36","141.08","134.24","","4.83%"
"02/13/2018","134.24","131.53","135.34","130.78","","2.65%"
"02/12/2018","130.78","130.38","131.38","129.50","","1.00%"
"02/09/2018","129.48","130.05","130.70","127.81","","-1.31%"
"02/08/2018","131.20","132.26","132.31","128.61","","-0.24%"
"02/07/2018","131.51","135.93","135.93","131.51","","-1.59%"
"02/06/2018","133.63","133.57","137.27","132.87","","-2.65%"
"02/05/2018","137.27","133.74","138.01","133.64","","2.30%"
"02/02/2018","134.19","138.95","139.85","131.95","","-4.05%"
"02/01/2018","139.85","135.15","139.91","134.15","","2.94%"
"01/31/2018","135.85","133.72","136.06","133.37","","1.86%"
"01/30/2018","133.37","138.05","138.15","132.85","","-3.28%"
"01/29/2018","137.90","139.80","140.05","136.40","","1.10%"
"01/26/2018","136.40","136.06","138.21","135.41","","-0.28%"
"01/25/2018","136.78","136.08","139.08","134.63","","0.81%"
"01/24/2018","135.68","128.29","136.71","127.14","","5.68%"
"01/23/2018","128.39","125.87","128.84","125.77","","0.68%"
"01/22/2018","127.52","127.04","128.31","126.59","","0.34%"
"01/19/2018","127.09","123.56","127.33","123.51","","2.03%"
"01/18/2018","124.56","124.39","125.74","123.64","","0.50%"
"01/17/2018","123.94","124.84","125.40","123.70","","-1.08%"
"01/16/2018","125.29","128.02","128.47","121.80","","-1.47%"
"01/12/2018","127.16","126.41","127.30","125.66","","0.83%"
"01/11/2018","126.11","128.17","129.27","125.78","","-2.44%"
"01/10/2018","129.27","127.34","131.83","126.59","","1.88%"
"01/09/2018","126.89","125.90","127.75","125.19","","1.27%"
"01/08/2018","125.30","124.79","126.60","123.59","","0.05%"
"01/05/2018","125.24","125.90","126.50","124.39","","-1.00%"
"01/04/2018","126.50","123.89","127.13","123.74","","1.90%"
"01/03/2018","124.14","125.09","126.19","123.50","","-1.62%"
"01/02/2018","126.19","125.20","128.38","125.20","","-1.14%"
"12/29/2017","127.65","123.00","128.00","121.65","","3.32%"
"12/28/2017","123.55","119.94","123.55","119.84","","1.99%"
"12/27/2017","121.14","118.56","121.36","118.46","","-0.18%"
"12/26/2017","121.36","121.36","121.36","121.36","","0.00%"
"12/22/2017","121.36","119.55","122.17","119.45","","0.51%"
"12/21/2017","120.75","119.65","121.05","118.70","","0.25%"
"12/20/2017","120.45","118.01","121.15","117.61","","2.41%"
"12/19/2017","117.61","117.31","118.36","116.66","","-0.63%"
"12/18/2017","118.36","115.45","118.56","115.37","","2.12%"
"12/15/2017","115.90","112.05","116.30","111.65","","3.81%"
"12/14/2017","111.65","112.51","112.51","110.51","","0.53%"
"12/13/2017","111.06","111.61","112.31","110.81","","0.23%"
"12/12/2017","110.81","111.23","112.34","110.43","","-1.51%"
"12/11/2017","112.51","108.88","112.51","108.75","","2.63%"
"12/08/2017","109.63","109.84","111.40","108.99","","-0.82%"
"12/07/2017","110.54","108.69","110.54","107.56","","2.17%"
"12/06/2017","108.19","108.39","109.41","107.70","","-0.55%"
"12/05/2017","108.79","112.85","114.01","108.79","","-4.58%"
"12/04/2017","114.01","113.83","114.76","113.33","","0.82%"
"12/01/2017","113.08","111.54","114.44","109.59","","1.61%"
"11/30/2017","111.29","114.06","115.42","111.29","","-3.58%"
"11/29/2017","115.42","114.61","115.42","113.05","","1.51%"
"11/28/2017","113.70","113.72","115.93","112.90","","-1.92%"
"11/27/2017","115.93","120.23","120.63","115.93","","-3.90%"
"11/24/2017","120.63","120.19","121.24","120.19","","1.64%"
"11/22/2017","118.68","117.08","119.68","117.08","","-0.26%"
"11/21/2017","118.99","116.74","119.04","116.41","","1.80%"
"11/20/2017","116.89","115.48","117.35","114.94","","0.72%"
"11/17/2017","116.05","115.30","116.24","113.79","","1.99%"
"11/16/2017","113.79","116.96","117.78","113.79","","-2.92%"
"11/15/2017","117.21","117.77","118.17","115.09","","-0.77%"
"11/14/2017","118.12","123.81","125.27","117.98","","-5.71%"
"11/13/2017","125.27","123.15","125.79","121.49","","3.11%"
"11/10/2017","121.49","123.84","124.86","121.49","","-1.56%"
"11/09/2017","123.41","126.49","127.46","122.35","","-3.18%"
"11/08/2017","127.46","127.07","127.69","125.70","","0.35%"
"11/07/2017","127.01","129.10","129.69","125.95","","-2.07%"
"11/06/2017","129.69","128.75","129.74","128.42","","1.51%"
"11/03/2017","127.76","127.82","128.50","125.69","","0.93%"
"11/02/2017","126.58","127.57","129.73","124.18","","-1.47%"
"11/01/2017","128.47","126.06","130.91","123.51","","4.02%"
"10/31/2017","123.51","117.17","124.05","113.47","","5.36%"
"10/30/2017","117.23","116.22","117.37","115.11","","0.78%"
"10/27/2017","116.32","116.90","117.05","114.06","","-1.45%"
"10/26/2017","118.03","119.26","119.96","117.05","","-0.95%"
"10/25/2017","119.16","120.56","121.39","118.43","","-1.09%"
"10/24/2017","120.47","119.89","121.32","119.10","","1.15%"
"10/23/2017","119.10","118.33","119.81","117.64","","1.04%"
"10/20/2017","117.87","118.98","122.14","117.11","","-0.04%"
"10/19/2017","117.92","117.37","118.43","116.72","","0.77%"
"10/18/2017","117.02","118.43","119.03","116.52","","-0.98%"
"10/17/2017","118.18","118.93","119.19","116.67","","-0.85%"
"10/16/2017","119.19","116.49","119.81","116.42","","1.59%"
"10/13/2017","117.32","114.86","117.83","114.52","","2.44%"
"10/12/2017","114.52","112.25","114.75","111.92","","2.32%"
"10/11/2017","111.92","110.52","112.97","109.47","","0.73%"
"10/10/2017","111.11","110.03","111.11","108.97","","0.41%"
"10/09/2017","110.66","107.35","110.66","106.88","","3.91%"
"10/06/2017","106.50","107.04","107.39","105.60","","0.62%"
"10/05/2017","105.84","106.84","107.57","105.70","","-0.75%"
"10/04/2017","106.64","107.85","108.93","106.64","","-0.07%"
"10/03/2017","106.72","105.43","108.30","104.41","","2.21%"
"10/02/2017","104.41","106.24","106.31","103.28","","-1.07%"
"09/29/2017","105.54","105.05","108.76","104.29","","0.56%"
"09/28/2017","104.95","103.31","105.80","102.88","","1.96%"
"09/27/2017","102.93","105.22","106.71","102.70","","-2.29%"
"09/26/2017","105.34","107.24","107.27","104.69","","-0.94%"
"09/25/2017","106.34","105.58","106.90","104.82","","1.45%"
"09/22/2017","104.82","107.85","110.75","104.82","","-5.35%"
"09/21/2017","110.75","112.82","114.56","108.93","","-3.33%"
"09/20/2017","114.56","112.84","115.59","112.15","","2.15%"
"09/19/2017","112.15","112.16","113.12","109.59","","-0.86%"
"09/18/2017","113.12","112.72","113.32","111.36","","1.30%"
"09/15/2017","111.67","113.07","113.15","109.31","","-0.99%"
"09/14/2017","112.79","115.01","115.80","112.04","","-1.41%"
"09/13/2017","114.40","120.24","120.77","114.18","","-5.27%"
"09/12/2017","120.77","117.51","120.77","116.75","","1.87%"
"09/11/2017","118.55","115.74","119.31","115.64","","1.48%"
"09/08/2017","116.82","123.41","124.65","115.64","","-4.62%"
"09/07/2017","122.48","123.29","124.15","121.09","","-0.14%"
"09/06/2017","122.65","121.19","123.04","120.13","","0.70%"
