"Date","Price","Open","High","Low","Vol.","Change %"
"10/05/2017","239.67","241.50","243.44","239.33","","-0.76%"
"10/04/2017","241.50","241.68","246.71","241.00","","-0.07%"
"10/03/2017","241.68","236.44","245.24","236.44","","2.22%"
"10/02/2017","236.44","239.00","241.05","233.74","","-1.07%"
"09/29/2017","239.00","237.66","246.46","236.17","","0.56%"
"09/28/2017","237.66","233.10","239.61","232.87","","1.96%"
"09/27/2017","233.10","238.55","241.86","232.50","","-2.28%"
"09/26/2017","238.55","240.81","243.21","236.93","","-0.94%"
"09/25/2017","240.81","237.36","242.62","237.36","","1.45%"
"09/22/2017","237.36","245.90","246.70","237.36","","-5.36%"
"09/21/2017","250.81","259.44","259.44","242.18","","-3.33%"
"09/20/2017","259.44","253.98","261.75","253.98","","2.15%"
"09/19/2017","253.98","255.37","256.28","247.94","","-0.85%"
"09/18/2017","256.17","252.88","256.76","252.19","","1.30%"
"09/15/2017","252.88","255.42","257.02","247.42","","-0.99%"
"09/14/2017","255.42","259.07","262.61","253.36","","-1.36%"
"09/13/2017","258.94","273.36","273.36","258.40","","-5.23%"
"09/12/2017","273.24","268.24","273.40","264.12","","1.91%"
"09/11/2017","268.12","264.21","269.92","261.01","","1.52%"
"09/08/2017","264.10","276.94","281.85","261.52","","-4.60%"
"09/07/2017","276.83","278.14","280.54","273.57","","-0.14%"
"09/06/2017","277.23","273.49","279.20","271.44","","0.69%"
"09/05/2017","275.32","274.31","280.79","271.65","","0.37%"
"09/01/2017","274.31","268.97","276.17","267.94","","1.99%"
"08/31/2017","268.97","264.12","269.38","264.12","","1.88%"
"08/30/2017","264.01","266.96","268.90","263.64","","-1.11%"
"08/29/2017","266.96","266.34","271.02","264.51","","1.94%"
"08/28/2017","261.88","261.88","261.88","261.88","","0.00%"
"08/25/2017","261.88","267.85","267.85","259.85","","-2.23%"
"08/24/2017","267.85","265.94","268.68","264.80","","0.72%"
"08/23/2017","265.94","260.41","269.66","256.07","","2.12%"
"08/22/2017","260.41","258.12","263.61","256.30","","0.89%"
"08/21/2017","258.12","250.54","259.11","250.42","","3.03%"
"08/18/2017","250.54","243.00","252.25","242.31","","2.38%"
"08/17/2017","244.71","245.48","247.99","242.85","","-0.31%"
"08/16/2017","245.48","236.12","246.97","236.00","","3.96%"
"08/15/2017","236.12","238.40","239.77","235.89","","-0.96%"
"08/14/2017","238.40","243.28","244.77","237.00","","-2.01%"
"08/11/2017","243.28","250.72","250.72","240.55","","-2.93%"
"08/10/2017","250.63","245.54","250.80","244.74","","2.11%"
"08/09/2017","245.45","242.54","247.23","242.54","","1.24%"
"08/08/2017","242.45","237.19","245.76","233.99","","2.26%"
"08/07/2017","237.10","233.71","237.48","233.59","","1.49%"
"08/04/2017","233.62","236.56","237.25","231.99","","-1.24%"
"08/03/2017","236.56","235.91","238.08","233.63","","0.28%"
"08/02/2017","235.91","234.24","236.07","231.04","","0.56%"
"08/01/2017","234.59","233.49","234.86","229.95","","0.72%"
"07/31/2017","232.92","232.70","236.24","232.24","","0.09%"
"07/28/2017","232.70","231.12","234.78","228.61","","0.68%"
"07/27/2017","231.12","228.09","233.23","227.74","","0.88%"
"07/26/2017","229.11","228.23","230.06","224.69","","0.39%"
"07/25/2017","228.23","222.22","228.51","222.00","","2.34%"
"07/24/2017","223.02","217.15","223.02","216.12","","2.70%"
"07/21/2017","217.15","216.69","221.04","216.69","","0.26%"
"07/20/2017","216.58","220.13","221.05","215.79","","-1.61%"
"07/19/2017","220.13","222.20","223.11","219.69","","-1.34%"
"07/18/2017","223.11","219.00","223.23","217.97","","1.88%"
"07/17/2017","219.00","218.49","222.03","217.34","","0.23%"
"07/14/2017","218.49","210.12","218.49","209.32","","4.02%"
"07/13/2017","210.05","209.95","211.67","208.92","","0.08%"
"07/12/2017","209.88","208.86","211.83","208.86","","0.85%"
"07/11/2017","208.11","205.16","209.84","204.59","","1.48%"
"07/10/2017","205.08","203.33","205.84","202.19","","0.90%"
"07/07/2017","203.26","206.86","207.66","203.20","","-1.74%"
"07/06/2017","206.86","208.83","209.18","206.78","","-0.94%"
"07/05/2017","208.83","214.07","214.07","206.76","","-2.45%"
"07/03/2017","214.07","214.16","215.41","212.10","","-0.04%"
"06/30/2017","214.16","211.88","214.17","210.17","","1.08%"
"06/29/2017","211.88","211.41","213.59","210.73","","0.22%"
"06/28/2017","211.41","211.17","211.86","209.12","","0.11%"
"06/27/2017","211.17","205.71","211.20","205.71","","2.65%"
"06/26/2017","205.71","207.02","208.73","205.30","","-0.63%"
"06/23/2017","207.02","205.64","210.44","205.64","","0.67%"
"06/22/2017","205.64","204.82","207.22","202.99","","0.18%"
