,Organizations,Country,Value
23285, singtel 1000,CHN,33
23305, sinopec engineering (group) co. ltd.,CHN,25
23312, sinopec shanghai petrochemical company limited,AUS,35
23323, sipa resources ltd,AUS,1688
23359, sirios resources inc,CAN,11
23360, site group international ltd,AUS,44
23368, sizzle acquisition corp,AUS,160
23399, sk innovation,CHN,46
23407, skeena resources ltd,CAN,144
23413, skyharbour resources ltd,MEX,18
23416, skywest inc,USA,29
23419, smart global holdings inc,USA,20
23425, smartspace software plc,GBR,27
23436, smith ao corporation,CAN,29
23446, smurfit kappa group plc,FIN,19
23467, snow lake resources ltd,USA,651
23476, sociedad quimica y minera de chile sa adr b,AUS,186
23523, softbank corp,USA,349
23529, softbank group corp.,CAN,135
23549, sokoman minerals corp,CAN,1174
23559, solar alliance energy inc,CAN,15
23568, solar energy initiat,USA,16
23574, solaredge technologies inc,USA,28
23580, solid power inc,USA,57
23582, solis minerals ltd,BRA,90
23588, solstice gold corp,CAN,31
23592, solution financial inc,USA,18
23593, solutions 30 se,CAN,12
23602, solvbl solutions inc,CAN,81
23617, soma gold corp,CAN,57
23627, sona nanotech inc,CAN,13
23647, sonora resources corp,MEX,102
23650, sonoro gold corp,USA,11
23709, sony corp,USA,1213
23714, sony group corp,CHN,41
23721, southern arc minerals inc,ARG,61
23729, southern concepts restaurant group inc,CHN,23
23763, southern copper corporation,SRB,92
23766, southern energy corp,CAN,31
23772, southern hemisphere mining ltd,AUS,78
23779, southern silver exploration corp.,CAN,24
23795, southwest airlines company,USA,109
23796, southwestern energy company,AUS,12
23809, sovereign metals limited,AUS,56
23848, spark energy minerals inc,BRA,139
23854, sparta capital ltd,CAN,17
23884, spearmint resources inc,USA,797
23887, spectra systems corporation,GBR,14
23901, spectral md holdings ltd,GBR,27
23911, spey resources corp,ARG,329
23922, spicejet limited,IND,21
23925, spirit airlines inc,USA,22
23927, spring airlines co ltd,CHN,34
23929, sprint bioscience ab (publ),CAN,13
23943, spruce ridge resources ltd,CAN,12
23953, srax inc,USA,46
23957, ssangyong cement industrial co. ltd,IND,13
23965, st george mining ltd,AUS,565
23994, stagecoach group - dusseldorf stock exchang,GBR,10
23998, stamper oil & gas corp,CAN,21
24016, standard bank group limited,USA,32
24021, standard chartered bank pakistan ltd,GBR,32
24059, standard lithium ltd,USA,3570
24065, stans energy corp,RUS,67
24068, stantec inc,AUS,81
24085, star alliance international corp,USA,18
24093, starbucks corporation,GBR,30
24102, starcore international mines ltd,USA,59
24113, steelcase inc,IND,13
24118, stelco holdings inc,AUS,118
24140, sterling metals corp,CAN,98
24152, stifel financial corporation,USA,17
24163, stockland,USA,56
24166, stornoway diamond corporation,CAN,42
24179, stratabound minerals corp,CAN,16
24181, strategic metals ltd,AUS,53
24189, strategic minerals plc,CAN,404
24212, stria lithium inc,CAN,409
24218, strickland metals ltd,AUS,23
24227, strike energy limited,AUS,40
24233, stuhini exploration ltd,CAN,40
24246, subaru corp,USA,359
24247, sultan resources ltd,AUS,107
24252, sumitomo heavy industries ltd adr,AUS,10
24281, sumitomo metal mining co ltd adr,USA,69
24287, sumitomo mitsui trust holdings inc,GHA,78
24292, summa silver corp,USA,65
24298, suncor energy inc,CAN,78
24304, sunedison infrastructure ltd,ARG,27
24313, sunlands technology group,AUS,22
24317, sunpower corporation,USA,32
24323, sunstone metals ltd,AUS,1686
24362, supernova metals corp.,CAN,24
24387, surge battery metals inc,USA,1529
24388, sustainable development acquisition i corp,ARG,51
24403, suvo strategic minerals ltd,AUS,63
24419, suzuki motor corporation,IND,783
24435, swift networks group ltd,AUS,44
24446, swiss national bank,USA,32
24452, syncona limited,USA,16
24458, syrah resources limited,AUS,177
24498, systems limited,CHN,111
24513, taiwan cement corp,CHN,74
24523, taiwan semiconductor manufacturing,USA,356
24530, taiwan semiconductor manufacturing company limited,USA,20
24532, talga group ltd,AUS,198
24545, talga resources ltd,AUS,16
24581, talon metals corp,USA,126
24582, tamboran resources limited,AUS,10
24592, tantalex resources corporation,DEU,115
24600, tarachi gold corp,CAN,17
24604, targa exploration corp.,CAN,156
24608, tarku resources ltd,CAN,64
24617, tartisan nickel corp,CAN,50
24630, taruga minerals limited,AUS,131
24636, taseko mines ltd,CAN,62
24650, tata chemicals ltd.,IND,20
24664, tata motors limited adr,IND,177
24677, tata steel limited,IND,39
24685, tc energy corporation,USA,18
24690, tearlach resources limited,USA,775
24693, technical communications,USA,13
24698, technipfmc plc,CHN,66
24723, technology general corporation,CHN,485
24742, technology metals australia ltd,AUS,129
24753, technology minerals plc,IRL,55
24758, techtronic industries company limited,USA,356
24762, teck resources limited,CAN,295
24775, teijin ltd,JPN,39
24782, tel aviv stock exchange,USA,23
24785, telecom italia s.p.a,USA,11
24805, telstra corporation limited,AUS,29
24816, tempest minerals ltd.,AUS,1822
24853, tempus resources limited,AUS,49
24863, ten lifestyle group plc,GBR,14
24875, tennessee valley authority pref,USA,32
24880, terns pharmaceuticals inc,MLI,31
24883, terran orbital corp,USA,11
24887, terrax minerals (tx0.sg),CAN,43
24911, tertiary minerals plc,ZMB,100
24920, tesco plc,IND,76
24990, tesla inc,USA,5157
25009, tetra bio-pharma inc,USA,22
25018, tetra technologies inc,USA,73
25041, texas instruments incorporated,USA,23
25046, texmaco infrastructure & holdings ltd.,USA,39
25055, theralase technologies inc.,CAN,22
25064, therapeuticsmd inc,CAN,94
25080, therma bright inc,CAN,52
25091, thermo fisher scientific inc,USA,396
25108, thesis gold inc,USA,57
25114, thomson resources ltd,USA,64
25136, thomson reuters corp,USA,147
25175, thor explorations ltd,USA,153
25183, thor mining plc,AUS,1388
25233, thunder gold corp.,CAN,206
25250, thunderbird entertainment group inc,USA,153
25274, thyssenkrupp ag adr,TZA,75
25295, tianqi lithium h yc 1,AUS,1883
25353, tibet mineral development co ltd,CHN,410
25359, tibet summit resources co ltd,CHN,52
25367, tibet urban development and investment co ltd,CHN,403
25373, tide water oil co. (india) limited,IND,10
25377, tietto minerals limited,AUS,63
25390, tiidal gaming group corp.,CAN,32
25399, tinone resources inc.,AUS,176
25422, tiziana life sciences ltd,USA,56
25435, tocvan ventures corp,CAN,126
25481, todos medical\xa0ltd,USA,305
25486, tofutti brands,CAN,32
25504, tohoku electric power company incorporated,JPN,93
25513, tomagold corporation,CAN,13
25514, tomra systems asa,AUS,32
25519, tongwei co ltd,CHN,92
25529, toray industries inc,POL,129
25532, toro energy limited,AUS,43
25567, toshiba corporation,IND,570
25602, tower resources ltd,GAB,20
25608, towerstream corp,USA,21
25609, toyota industries corp,ARG,56
25684, toyota motor corporation adr,USA,1805
25688, toyota tsusho corporation,ARG,812
25719, tracesafe inc,CAN,83
25730, trans canada gold corp,CAN,241
25744, trek metals ltd,AUS,1211
25778, trellus health plc,GBR,16
25787, trevali mining corporation,CHL,85
25796, triangle energy global ltd,AUS,16
25807, tribe property technologies inc,USA,24
25809, trifecta gold ltd,CAN,42
25815, trillium gold mines inc,CAN,46
25817, trilogy metals inc,ALB,56
25831, triton minerals limited,AUS,1774
25872, troilus gold corp,CAN,123
25897, tronics microsystems sa,CHN,18
25916, tronox holdings plc,USA,39
25929, trust stamp inc,USA,90
25930, tsodilo resources limited,CAN,10
25937, tube investments of india ltd,IND,112
25944, tulla resources cdis/1,AUS,27
25948, tungsten west plc,CHN,129
25981, tupperware brands corporation,CAN,11
25999, tyranna resources limited,AUS,1328
26035, u s liquids inc,USA,11
26037, ube industries ltd,JPN,36
26041, uber technologies inc,CHN,22
26052, ubs ag london branch,CHN,62
26063, ulta beauty inc,USA,32
26067, ultra resources inc,CAN,366
26087, ultralife corporation,USA,60
26088, unigold inc,CAN,63
26095, unilever plc adr,CHN,39
26118, union bankshares inc,CAN,24
26128, union chemicals lanka plc,CHN,10
26142, unisys corporation,IND,76
26153, united airlines holdings inc,USA,34
26156, united bancshares inc,CAN,24
26169, united energy group limited,USA,18
26202, united lithium corp,USA,428
26229, united parcel service inc,USA,766
26232, univar inc,AUS,35
26237, uranium energy corp,CAN,420
26265, uranium royalty corp,USA,10
26279, us critical metals corp.,USA,234
26290, us energy corp,USA,160
26292, us energy initiative,USA,32
26299, us lithium corp,USA,201
26320, usha resources ltd,USA,1065
26326, valens,CAN,140
26365, valeo pharma inc,USA,86
26371, valmet oyj,FIN,30
26384, valor resources limited,AUS,19
26390, vanadiumcorp resource inc,USA,263
26395, vejii holdings ltd,CAN,130
26412, venture corporation limited,ARG,245
26429, venture minerals limited,AUS,139
26434, venus metals,AUS,113
26445, venus metals corporation ltd,AUS,1609
26501, veolia environnement s.a,USA,426
26511, vertu motors plc,GAB,40
26518, vianet group plc,CHN,33
26542, vibe growth corporation,USA,22
26570, vicinity motor corp,USA,183
26581, victory resources corporation,USA,940
26596, victory square technologies inc,USA,22
26597, vior inc,CAN,29
26616, virtu financial inc,USA,29
26623, visa inc. class a,PRT,21
26628, viscount mining corp,USA,78
26634, vision lithium inc,CAN,394
26658, vistra energy corp,AUS,78
26665, vital battery metals inc.,CAN,11
26667, vital metals limited,AUS,190
26676, vitalhub corp,GBR,14
26680, vivakor inc,CAN,21
26692, vmware inc,IND,76
26710, volkswagen ag,CHN,2521
26786, volt power group ltd,AUS,46
26795, volt resources ltd,AUS,167
26849, volvo car ab (publ.),USA,580
26860, vox royalty corp. common stock,CAN,92
26881, voyageur pharmaceuticals ltd,CAN,20
26885, vr resources ltd,CAN,40
26895, vulcan energy resources limited,AUS,2725
26959, vulcan materials company,CAN,40
26984, vuzix corp cmn stk,USA,117
26986, walgreens boots alliance inc,USA,32
26988, wallbridge mining company limited,CAN,52
27013, walmart inc,USA,402
27014, wanhua chemical group co ltd,CHN,68
27018, warner bros discovery inc,USA,20
27019, warrego energy limited,AUS,11
27025, warrior met coal inc,USA,358
27026, washington post -b-,ARG,513
27060, waste connections inc,USA,32
27064, waste management inc,USA,68
27077, wealth minerals ltd,CHL,3894
27152, wellness center usa,USA,100
27168, wentworth resources ltd,MLI,43
27172, wesfarmers limited,AUS,239
27181, westar resources\xa0ltd,AUS,14
27185, western digital corporation,CHN,179
27194, western mining co ltd,USA,43
27196, westgold resources limited,AUS,71
27208, westhaven gold corp,CAN,232
27217, westinghouse air brake technologies corp,IND,10
27219, westpac banking corporation,AUS,85
27235, westwater resources inc,USA,42
27260, whirlpool corporation,USA,173
27266, white cliff minerals ltd,AUS,1770
27306, white gold corp,CHL,31
27312, white metal resources corp,CAN,550
27316, white rock minerals ltd,AUS,25
27326, whitehaven coal limited,AUS,14
27331, whitehorse gold corp,AUS,29
27350, wienerberger ag,AUS,44
27361, willis lease finance corporation,USA,10
27362, willow biosciences inc,CAN,15
27372, wiluna mining corporation limited,AUS,1408
27407, winnebago industries inc,USA,15
27413, winsome resources limited,CAN,959
27438, wipro limited adr,IND,28
27442, wishpond technologies ltd,CAN,167
27462, wolfden resources corporation,CAN,19
27474, woodside energy group ltd,AUS,51
27495, woodward inc,USA,32
27505, woomera mining ltd,AUS,1824
27551, world copper ltd,CAN,117
27565, worldwide webb acquisition corp,USA,44
27568, wright investors service holdings inc,IND,27
27570, wuliangye yibin co ltd,CHN,34
27572, xander resources inc,CAN,10
27578, xantippe resources ltd,AUS,1539
27621, xebec adsorption inc,CAN,10
27627, xiamen tungsten co ltd,CHN,376
27638, xiaomi corp,CHN,21
27644, xigem technologies corporation,CAN,54
27693, ximen mining corp,USA,127
27699, xinhua winshare publishing and media co. ltd,CHN,100
27715, xpeng inc,AUS,92
27751, xphyto therapeutics corp,USA,173
27798, yahoo japan,USA,466
27810, yamana gold inc,FIN,130
27833, yankuang energy group co ltd hk,CHN,27
27838, yayyo inc,CAN,18
27845, yellow cake plc,CAN,27
27851, yelp inc,USA,16
27852, yixin group limited,CHN,10
27855, yokogawa electric corporation,JPN,39
27875, york harbour metals inc,USA,177
27878, yougov plc,IND,14
27895, youngevity international inc,USA,129
27900, youngy co ltd,CHN,156
27909, zelira therapeutics limited,AUS,19
27917, zenith capital corp,AUS,419
27931, zenith energy ltd,AUS,212
27953, zenith minerals limited,AUS,1725
27995, zenova group plc,GBR,55
28002, zeons corporation,CHN,14
28015, zeus resources ltd,AUS,67
28021, zhejiang huayou cobalt co ltd,AUS,236
28047, zijin mining group co ltd-h,AUS,476
28101, zimplats holdings limited,ZWE,18
28106, zimtu capital corp,CAN,212
28121, zinc8 energy solutions\xa0inc,CAN,33
28143, zinnwald lithium plc,MEX,254
28155, zuleika gold ltd,AUS,17
28176, zynerba pharmaceuticals inc,CAN,85
28195,aben resources ltd,PER,11
28197,aberdeen international inc,ARG,132
28209,abrasilver resource corp,ARG,50
28221,absa group limited,ZAF,33
28225,accenture plc,AUS,21
28237,acme lithium inc,USA,267
28240,adma biologics inc,AUS,17
28251,ads maritime holding plc,USA,10
28252,adventus mining corporation,CAN,10
28265,aeye inc,GBR,14
28277,afritin mining limited,NAM,40
28289,agilent technologies inc,CHN,349
28319,agnico eagle mines limited,CAN,44
28332,agricultural bank of china,ARG,15
28338,air canada,CAN,13
28351,air france klm sa,NLD,18
28379,airbus group se,USA,35
28381,albemarle corp,AUS,3297
28436,albert labs intl. corp.,CAN,18
28443,alchemy resources limited,AUS,54
28445,alcoa corp,AUS,49
28465,aldoro resources ltd,AUS,57
28467,alianza minerals ltd,CAN,67
28475,alita resources limited,AUS,36
28486,alkemy capital investments plc,GBR,69
28492,allegiant gold ltd,USA,46
28496,alliant energy corp,USA,49
28499,alligator energy limited,AUS,32
28509,allkem limited,AUS,43
28518,allkem ltd,AUS,476
28548,alpha cognition inc,CHN,12
28551,alpha lithium corporation,AUS,133
28580,alstom pk,RUS,13
28582,altagas ltd,USA,13
28591,altair resources inc,USA,101
28595,altamira gold corp,CAN,14
28602,altech chemicals ltd,DEU,12
28612,alternet systems inc,USA,93
28614,altura mining limited,AUS,1011
28652,amara raja batteries limited,IND,21
28653,amara raja batteries ltd.,IND,32
28673,american airlines group,USA,52
28681,american battery metals corp usd,USA,743
28682,american energy partners inc,USA,11
28717,american lithium corp. common stock,USA,4191
28727,american lithium minerals inc,USA,167
28741,american manganese inc,USA,540
28745,american potash corp.,USA,38
28746,american rare earths limited,USA,133
28749,american resources corp class a,USA,207
28756,ameriwest lithium inc,USA,174
28757,amg advanced metallurgical group n.v.,BRA,30
28771,ammpower corp,CAN,20
28780,amur minerals corporation,AUS,38
28794,angel gold corp,COL,24
28795,anglo american platinum limited,CAN,41
28807,anglo american plc,USA,41
28814,anglogold ashanti limited,MLI,31
28819,anglogold ashanti ltd adr,MLI,144
28829,anson resources limited,USA,421
28836,antofagasta plc,CHL,1548
28876,appia energy corp,MEX,70
28883,applied materials inc,JPN,25
28894,aramark holdings,USA,18
28895,arbor metals corp,CAN,41
28904,arcadia minerals cdi/1:1,NAM,53
28909,ardiden limited,CAN,113
28943,arena minerals inc,USA,429
28948,ares strategic mining inc,USA,87
28949,argentina lithium & energy corp,ARG,37
28961,argosy minerals limited,AUS,1625
29002,argus shanghai textile chemicals co ltd,CAN,34
29011,arian silver corporation,MEX,37
29016,ariana resources plc,AUS,20
29020,arianne phosphate inc,CHN,16
29028,arizona lithium limited,USA,195
29037,arrow minerals ltd,CAN,62
29046,artemis resources limited,AUS,114
29089,asahi kasei corporation,USA,836
29096,asante gold corporation,USA,66
29103,ashland global holdings inc,USA,21
29107,asiamet resources ltd,CAN,23
29119,asics corporation,JPN,11
29123,askari metals limited,NAM,19
29124,associated british foods plc,AUS,11
29131,astrazeneca plc adr,USA,14
29138,atlantic lithium ltd,GHA,350
29145,atlas lithium corporation common stock,BRA,217
29152,aura energy limited,CHN,35
29162,auroch minerals limited,AUS,135
29180,aurora energy metals ltd,USA,14
29182,australasian metals ltd,AUS,14
29184,australian agricultural company limited,CAN,46
29189,australian vanadium limited,ZAF,68
29192,autozone inc,NOR,12
29202,avalon advanced materials inc,CAN,412
29209,avalonbay communities inc,USA,100
29212,avarone metals inc,USA,75
29221,avz minerals limited,COD,72
29240,azimut exploration inc,CAN,34
29254,azure minerals limited,AUS,150
29263,b communications ltd,USA,191
29267,baker hughes co,AUS,22
29284,banco do brasil sa,BRA,24
29287,bangchak corp. -fgn- ba 1,THA,17
29295,bank of america corp,USA,59
29304,barclays plc,USA,55
29320,barco nv,PRT,63
29327,barksdale resources corp,MEX,26
29333,barrel energy inc,TZA,117
29335,barrick gold corp,AFG,152
29362,bass metals limited,ARG,21
29365,battery future acquisition corp,AUS,186
29394,battery mineral resources corp,USA,314
29396,battery minerals limited,AUS,43
29401,bayfirst financial corp,CAN,17
29409,bcb bancorp inc,USA,321
29410,beach energy ltd,AUS,38
29419,bear creek mining corporation,COD,33
29433,belmont resources inc,USA,193
29434,benton resources inc,CAN,137
29442,berkeley energia limited,PRT,10
29464,berkshire hathaway inc,USA,1114
29465,best buy co inc,USA,37
29468,bharat electronics limited,IND,20
29474,bharat heavy electricals limited,IND,152
29487,binovi technologies corp,USA,13
29490,blackearth minerals nl,AUS,73
29512,blackrock capital allocation trust,MEX,245
29523,blackrock silver corp,USA,85
29526,blaze international ltd,AUS,14
29535,blue sky uranium corp,CAN,43
29568,bluejay mining plc,RUS,43
29585,bmw industries ltd.,CHN,1203
29641,boadicea resources ltd,AUS,99
29643,bocom international holdings company limited,CHN,19
29653,bombardier inc a,USA,24
29654,bonterra resources inc,CAN,16
29657,borgwarner inc,CHN,33
29675,bp plc adr,IND,12
29682,bradda head holdings ltd,USA,13
29692,bradda head lithium limited,USA,1067
29706,brandshield systems plc,USA,23
29716,braxia scientific corp,USA,56
29720,brigadier gold limited,CAN,145
29724,brightrock gold corp,USA,99
29729,british american tobacco p.l.c,USA,20
29737,broadridge financial solutions inc,USA,34
29738,brockman mining,AUS,44
29750,brookside energy ltd,AUS,19
29754,brunswick corporation,DEU,22
29765,brunswick exploration inc.,CAN,288
29788,bullion gold resources corp,CAN,18
29794,bunker hill mining corp,USA,39
29796,bureau veritas sa,CAN,96
29807,burson group ltd,AUS,10
29813,bushveld minerals limited,CHN,37
29844,business development corp of america,USA,83
29845,byd co ltd-h,CHL,10
29860,cabot corporation,USA,76
29879,cadence minerals plc,MEX,880
29899,caeneus minerals ltd,USA,194
29906,caledonia mining corporation,ZWE,36
29907,calix inc,AUS,15
29915,cameco corp,USA,21
29920,campbell soup company,CHL,63
29954,canaccord genuity group inc,MEX,574
29965,canada zinc metals,CAN,16
29971,canadian goldcamps corp,USA,22
29972,canadian pacific railway ltd,CAN,10
29974,canadian western bank,CHL,71
29984,canntab therapeutics limited,USA,30
29985,canterra minerals corporation,CAN,29
29987,cape lambert resources limited,AUS,32
29995,capella minerals limited,FIN,129
30000,capital bancorp,CAN,96
30007,capital limited,AUS,28
30009,capital partners s.a.,CAN,15
30025,cargills plc,USA,24
30034,carrefour sa,CHN,14
30039,castillo copper ltd,AUS,73
30043,caterpillar inc,CHN,44
30049,cathay pacific airways limited,CHN,11
30052,cazaly resources ltd,AUS,246
30064,celadon pharmaceuticals plc,GBR,60
30072,celxpert energy,IDN,14
30082,centerra gold inc,CAN,70
30092,central bank corporation,BOL,295
30118,centrica plc,AUS,17
30131,cf industries holdings inc,AUS,41
30136,chalice gold mines,AUS,44
30137,chalice mining limited,AUS,69
30146,charah solutions inc,USA,69
30155,chemical industries,KOR,32
30159,chemours co,CHN,22
30161,cheryong electric co.ltd,ARG,19
30175,chesapeake energy corp,USA,22
30190,chevron corp,USA,391
30191,china aerospace international holdings limited,CHN,12
30197,china citic bank corporation limited,CHN,52
30200,china dongsheng international inc,TZA,17
30206,china energy recovery inc,CHL,12
30220,china evergrande group,CHN,26
30223,china hanking holdings ltd,CHN,12
30226,china international capital corporation limited,SRB,13
30232,china merchants bank co ltd class h,CHN,21
30238,china minmetals rare earth co ltd,CHN,74
30246,china minsheng banking corp. ltd,CHN,14
30250,china mobile limited,CHN,38
30258,china molybdenum co. ltd,CHN,140
30270,china national nuclear power,USA,52
30272,china natural resources inc,ZWE,11
30276,china nonferrous gold limited,KAZ,37
30286,china northern rare earth group high-tech co ltd,CHN,75
30297,china railway group limited,CHL,20
30303,china southern airlines company limited,AUS,12
30314,china tourism group duty free corporation limited,CHN,53
30318,china tower corporation limited,CHN,76
30321,china unicom (hk) - dusseldorf stock exchang,CHN,27
30324,chinese estates holdings limited,CHN,154
30328,circassia group plc,CAN,12
30336,citic securities company limited,CHN,235
30360,citigroup inc,AUS,67
30384,clean energy technologies inc,IND,92
30397,cleantech lithium plc,CHL,399
30410,clear sky lithium corp.,USA,60
30411,cliffs natural res,USA,245
30413,clontarf energy plc,BOL,304
30450,cnnc international limited,USA,256
30457,cnooc - dusseldorf stock exchang,MEX,94
30485,coeur mining inc,USA,76
30487,cohiba minerals limited,AUS,23
30501,coles group ltd,AUS,45
30505,colibri resource corporation,USA,11
30509,comet resources,AUS,10
30513,commander resources ltd,CAN,25
30515,commonwealth bank of australia,AUS,42
30524,community choice financial holdings llc,USA,17
30543,compass minerals international inc,USA,203
30550,consolidated edison inc,USA,39
30551,construction partners inc,CAN,11
30558,contact energy limited,NZL,31
30566,copper mountain mining corporation,AUS,59
30571,coppercorp resources inc.,CAN,47
30580,core lithium ltd,AUS,717
30595,costa group holdings limited,AUS,12
30634,credit suisse group,USA,139
30636,creek road miners inc,AUS,10
30644,critical elements corporation,CAN,965
30660,critical elements lithium corporation,CAN,1143
30672,critical metals ls-005,AUT,33
30686,critical resources ltd.,CAN,129
30703,cruz battery metals corp.,USA,25
30709,cruz cobalt corp,USA,62
30711,cullen resources ltd,AUS,19
30721,culpeo minerals limited,CHN,54
30742,cummins inc,GBR,36
30749,curtiss-wright corporation,BRA,10
30753,cyclerion therapeutics inc,FRA,15
30771,cypress development corp,USA,970
30780,daimler truck holding ag,CHL,322
30819,daqo new energy corp adr,CHN,29
30826,data communications management corp,JPN,32
30831,dbs group holdings ltd,ARG,24
30854,delta electronics (thailand) public company limited,USA,17
30857,denison mines corp,CAN,50
30881,deutsche bank ag na o.n.,USA,683
30884,deutsche bank aktiengesellschaft,CAN,13
30889,development technologies corp,CHN,115
30911,digital realty trust inc,USA,17
30914,digital turbine inc,ARG,17
30923,discovery harbour resources corp,USA,37
30927,distribution solutions group inc,ZWE,32
30928,district copper corp,CAN,12
30931,dixie gold inc,AUS,18
30944,dongfeng motor group co ltd,CHN,13
30952,duke energy corporation,USA,104
30955,dundee precious metals inc,ARM,33
30970,dupont de nemours inc,USA,38
30971,durango resources inc,CAN,64
30972,dynamic metals ltd.,AUS,10
30975,eagle graphite incorporated,GBR,27
30977,eagle plains resources ltd,CAN,13
30989,eastman kodak co,AUS,18
30997,eaton vance california mit,CHE,12
31034,edison lithium corp.,ARG,85
31053,elcora advanced materials corp,LKA,18
31057,eldorado gold corp,CAN,61
31070,electronics mart india ltd,CAN,17
31093,electrovaya inc,USA,267
31111,eneos holdings inc,IND,10
31127,energy fuels inc,USA,47
31133,energy metals,CHL,420
31144,energy of minas gerais co drc,ARG,533
31167,energy resources of australia ltd,AUS,19
31177,energy services of america corp,USA,10
31183,energy technologies limited,CHN,67
31209,energy transition mineral,USA,20
31210,enerplus corporation,CAN,14
31223,enersys,USA,11
31238,enertopia corporatio,USA,310
31244,enovix corp,USA,17
31248,entergy arkansas llc deb 2066,USA,65
31253,environmental solutions worldwide inc,USA,28
31261,eos energy enterprises inc,USA,21
31269,equity lifestyle properties inc,GBR,27
31279,equity metals corporation,CAN,18
31283,euro manganese inc,CAN,18
31290,european lithium limited,AUT,492
31331,european metals holdings limited,CZE,2728
31381,eve energy,CHN,63
31402,evion group nl,MDG,26
31408,evolution mining ltd,USA,10
31409,evonik industries ag,CAN,16
31419,exide industries ltd.,IND,213
31440,express inc,DEU,102
31495,exro technologies inc,GBR,11
31531,exxon mobil corp,USA,278
31591,facebook inc. cl a,USA,1849
31596,falcon gold corp,CAN,95
31606,farasis energy gan zhou co ltd,CHN,14
31609,farmers edge inc,AUS,17
31620,fe battery metals corp.,CAN,45
31655,fedex corporation,POL,104
31674,filo mining corp,CAN,13
31679,financial institutions inc. 8.48% srb1 pfd b,ARG,66
31686,firefinch limited,MLI,68
31689,first energy metals ltd,CAN,10
31696,first lithium minerals,CHL,159
31706,first mining gold corp,CAN,52
31717,first quantum minerals ltd,CHN,174
31755,first tellurium corp,CAN,22
31760,fiskars oyj abp,CHN,13
31765,fission uranium corp,CAN,26
31768,flexible solutions international inc,CAN,13
31773,flextronics intl,AUS,38
31786,fluor corporation,USA,21
31789,flux power holdings inc,USA,31
31790,flynn gold ltd,AUS,31
31799,fmc corporation,USA,10
31837,ford motor company,USA,695
31845,fortescue metals group ltd adr,AUS,257
31876,fortum oyj,DEU,16
31913,fortune minerals limited,USA,112
31919,fosterville south exploration ltd,AUS,35
31925,fosun international ltd,CHN,33
31939,freeport mcmoran,USA,76
31945,freeport-mcmoran copper & gold inc,USA,35
31951,fremont gold ltd,USA,84
31952,fresenius medical care ag & co. kgaa,AUS,15
31963,friendly hills bank,USA,14
31965,frontier lithium inc,CAN,260
31977,frontier services group limited,CHN,16
31988,fuelcell energy inc,USA,27
31991,fufeng group,USA,16
31993,fuji electric co. ltd,USA,10
31995,fujitsu general limited,JPN,11
31998,fujitsu limited,JPN,13
32003,galan lithium limited,AUS,58
32007,galena mining ltd,AUS,40
32014,galileo resources plc,ZWE,38
32015,gama explorations inc.,CAN,181
32019,gamehost inc,CAN,11
32026,gamelancer media corp.,CAN,20
32028,gamestop corp,AUS,12
32044,gander gold corporation,CAN,42
32059,ganfeng lithium co ltd,CHN,538
32089,gartner inc,CAN,147
32100,gase energy inc,CHN,102
32137,gazprom pao,RUS,81
32148,gb group plc,MEX,190
32153,gea group aktiengesellschaft,AUS,17
32156,geely automobile holdings ltd,CHN,66
32161,gemxx corp,CHN,50
32172,general motors company,USA,80
32178,generation mining limited,USA,24
32181,geodrill limited,GHA,18
32184,german american bancorp inc,DEU,39
32187,gibson energy inc,CHL,15
32191,giga metals corporation,AUS,15
32197,givex information technology group limited,ARG,26
32211,glen eagle resources inc,CAN,10
32268,glencore plc,USA,409
32278,global acquisitions corporation,USA,33
32284,global battery metals ltd,USA,33
32295,global energy metals corp,USA,82
32303,global energy ventures ltd,USA,13
32304,global healthcare reit inc,AUS,14
32307,global lithium resources ltd,AUS,167
32325,global power synergy pcl,THA,11
32327,globex mining enterprises inc,CAN,37
32329,gold hydrogen ltd.,AUS,28
32337,gold terra resource corp,CAN,190
32406,goldman sachs group inc,USA,1159
32410,goldon resources ltd,CAN,150
32421,goldplay mining inc,CAN,227
32431,goldspot discoveries corp,CAN,52
32433,gr engineering services ltd,AUS,32
32449,gran colombia gold corp. wt exp 043024,CAN,29
32457,graphene manufacturing group ltd,AUS,12
32463,graphite one inc,CAN,298
32469,great atlantic resources corp,CAN,39
32472,great northern minerals,FIN,12
32477,great panther mining limited,USA,13
32480,great southern copper plc,HUN,12
32482,great wall motor co ltd,AUS,196
32494,great western mining corp plc,CHN,35
32507,gree electric appliances inc of zhuhai,CHN,10
32508,green battery minerals inc,CAN,35
32511,green development & services investment jsc,CHN,66
32524,green energy live inc,USA,101
32527,green energy resources inc,USA,13
32528,green hydrogen syst. dk 1,CAN,33
32531,green shift commodities,ARG,20
32542,green technology metals limited,CAN,267
32558,greenbank capital inc,CAN,22
32565,greenbrier companies inc,ARG,22
32571,greenvale energy ltd,AUS,20
32578,grid metals corp,CAN,291
32631,groupe gorgé sa,USA,673
32649,gs yuasa corporation,JPN,90
32657,guangzhou great power energy&technology co ltd,CHN,41
32668,guangzhou tinci materials technology co ltd,CHN,93
32723,guotai junan securities co. ltd,RUS,11
32733,hackett group,USA,59
32736,hainan mining co ltd,MLI,49
32739,hannans reward ltd,AUS,12
32748,hanwa co. ltd,MEX,86
32751,harfang exploration inc,CAN,63
32756,harris exploration inc,USA,70
