,Organizations,Country,Value
6270, critical resources ltd.,CAN,198
6288, cruz battery metals corp.,USA,225
6303, cruz cobalt corp,USA,167
6305, cufe ltd.,AUS,44
6323, cullen resources ltd,FIN,129
6331, culpeo minerals limited,CHN,236
6353, cummins inc,AUS,36
6384, cyanconnode holdings plc,USA,75
6388, cygnus gold ltd,AUS,1045
6486, cypress development corp,USA,10154
6495, cytodyn inc,CAN,48
6514, daikin industriesltd,CHN,24
6525, daimler truck holding ag,BOL,955
6570, dais analytic corp,USA,39
6571, dajin heavy industry corp,ARG,43
6589, dalrada financial corp,USA,120
6591, danimer scientific inc,USA,13
6594, datalex plc,USA,90
6597, dbs group holdings ltd,ARG,88
6603, deckers outdoor corporation,GBR,12
6624, deepspatial inc.,USA,69
6631, delaware investments florida mif,USA,24
6648, delphi automotive,CHL,149
6675, delta air lines inc,USA,59
6683, denison mines corp,CAN,466
6731, denso corporation,IND,211
6753, destiny pharma plc,AUS,16
6773, deutsche bank ag na o.n.,CZE,2792
6815, deutsche bank aktiengesellschaft,ARG,175
6819, deutsche post ag,DEU,31
6841, development technologies corp,CHN,206
6858, devex resources limited,AUS,107
6862, devon energy corporation,CAN,13
6867, diagnos inc,CAN,14
6869, dialight plc,ARG,45
6880, digital realty trust inc,CHN,33
6902, digital turbine inc,USA,10
6908, directa plus plc,GBR,15
6926, discovery harbour resources corp,USA,75
6929, discovery silver corp.,USA,15
6934, district metals corp,CAN,60
6946, dixie gold inc,AUS,36
6956, dni metals inc,CAN,14
6962, dollar tree inc,USA,356
6963, dolly varden silver corporation,CAN,10
6969, dometic group ab (publ),ARG,16
6981, donaco international ltd,AUS,44
6991, dongfeng motor group co ltd,CHN,42
7000, doubleview gold corp,CAN,51
7017, dreadnought resources ltd,AUS,1477
7077, duke energy corporation,JPN,96
7096, duke exploration\xa0ltd,AUS,40
7100, dundas minerals ltd,AUS,44
7110, dundee corp,USA,56
7112, dundee precious metals inc,ARM,99
7146, dupont de nemours inc,USA,588
7148, dynamic metals ltd.,AUS,66
7157, eagle plains resources ltd,CAN,89
7162, eastern metals ltd,AUS,50
7170, eastman kodak co,USA,15
7187, eaton vance california mit,SGP,12
7206, ecopro hn co. ltd.,USA,25
7216, edison cobalt corp,CAN,31
7224, edison lithium corp.,ARG,41
7241, egdon resources plc,DEU,31
7274, el nino ventures inc,USA,85
7278, elbit systems ltd,CHN,38
7289, eldorado gold corp,CAN,134
7319, electra battery materials corp,USA,78
7320, electrameccanica vehicles corp,USA,48
7325, electronics mart india ltd,CHN,41
7342, electrovaya inc,CAN,151
7361, elementos limited,AUS,16
7366, eli lilly and company,USA,356
7367, elixinol wellness limited,AUS,23
7369, elixir energy limited,AUS,13
7376, eloro resources ltd,BOL,18
7391, elysee development corp,CAN,32
7401, emerita resources corp,BRA,35
7409, emgold mining corporation,USA,652
7419, emmaus life sciences inc,USA,56
7428, empire metals limited,AUS,93
7478, enbridge inc,CAN,46
7511, endeavour mining corp,USA,64
7522, endeavour silver corp.,USA,35
7532, endexx corp,USA,56
7537, eneos holdings inc,CHN,12
7541, energiedienst holding ag,AUS,26
7560, energizer holdings inc,USA,131
7576, energy fuels inc,USA,203
7606, energy metals,USA,231
7610, energy of minas gerais co drc,AUS,2593
7671, energy one,AUS,13
7683, energy resources of australia ltd,USA,30
