Date,Li2CO3 99%
2005-08-16,23200
2005-08-17,23200
2005-08-18,23200
2005-08-19,23200
2005-08-22,23200
2005-08-23,23200
2005-08-24,23200
2005-08-25,23200
2005-08-26,23200
2005-08-29,23200
2005-08-30,23200
2005-08-31,23200
2005-09-01,23200
2005-09-02,23200
2005-09-05,23200
2005-09-06,23200
2005-09-07,23200
2005-09-08,23200
2005-09-09,23200
2005-09-12,23200
2005-09-13,23200
2005-09-14,23200
2005-09-15,23200
2005-09-16,23200
2005-09-19,23200
2005-09-20,23200
2005-09-21,23200
2005-09-22,23200
2005-09-23,23200
2005-09-26,23200
2005-09-27,23200
2005-09-28,23200
2005-09-29,23200
2005-09-30,23200
2005-10-10,23200
2005-10-11,23200
2005-10-12,23200
2005-10-13,23200
2005-10-14,23200
2005-10-17,23200
2005-10-18,23200
2005-10-19,23200
2005-10-20,23200
2005-10-21,23200
2005-10-24,23200
2005-10-25,23200
2005-10-26,23200
2005-10-27,23200
2005-10-28,23200
2005-10-31,23200
2005-11-01,23200
2005-11-02,23200
2005-11-03,23200
2005-11-04,23200
2005-11-07,23205
2005-11-08,23200
2005-11-09,23200
2005-11-10,23200
2005-11-11,23200
2005-11-14,23200
2005-11-15,23200
2005-11-16,23200
2005-11-17,23200
2005-11-18,23200
2005-11-21,23200
2005-11-22,23200
2005-11-23,23200
2005-11-24,23200
2005-11-25,23200
2005-11-28,23200
2005-11-29,23200
2005-11-30,23200
2005-12-01,23200
2005-12-02,23200
2005-12-05,23200
2005-12-06,23200
2005-12-07,23200
2005-12-08,23200
2005-12-09,23200
2005-12-12,23200
2005-12-13,23200
2005-12-14,23200
2005-12-15,23200
2005-12-16,23200
2005-12-19,23200
2005-12-20,23200
2005-12-21,23200
2005-12-22,23200
2005-12-23,23200
2005-12-26,23200
2005-12-27,23200
2005-12-28,23200
2005-12-29,23200
2005-12-30,23200
2006-01-04,23200
2006-01-05,23200
2006-01-06,23200
2006-01-09,23200
2006-01-10,23200
2006-01-11,23200
2006-01-12,23200
2006-01-13,23200
2006-01-16,23200
2006-01-17,23200
2006-01-18,23200
2006-01-19,23200
2006-01-20,23200
2006-01-23,23200
2006-01-24,23200
2006-01-25,23200
2006-01-26,23200
2006-01-27,23200
2006-02-06,23200
2006-02-07,23200
2006-02-08,23200
2006-02-09,23200
2006-02-10,23200
2006-02-13,23200
2006-02-14,23200
2006-02-15,23200
2006-02-16,23200
2006-02-17,22500
2006-02-20,22500
2006-02-21,22500
2006-02-22,22500
2006-02-23,22500
2006-02-24,22500
2006-02-27,22500
2006-02-28,22500
2006-03-01,22500
2006-03-02,22500
2006-03-03,22500
2006-03-06,22500
2006-03-07,22500
2006-03-08,22500
2006-03-09,22500
2006-03-10,22500
2006-03-13,22500
2006-03-14,22500
2006-03-15,22500
2006-03-16,22500
2006-03-17,22500
2006-03-20,22500
2006-03-21,22500
2006-03-22,22500
2006-03-23,22500
2006-03-24,22500
2006-03-27,22500
2006-03-28,22500
2006-03-29,22500
2006-03-30,22500
2006-03-31,22500
2006-04-03,22500
2006-04-04,22500
2006-04-05,22500
2006-04-06,22500
2006-04-10,22500
2006-04-11,22500
2006-04-12,22500
2006-04-13,22500
2006-04-14,22500
2006-04-17,22500
2006-04-18,22500
2006-04-19,22500
2006-04-20,22500
2006-04-21,22500
2006-04-24,22500
2006-04-25,22500
2006-04-26,22500
2006-04-27,22500
2006-04-28,22500
2006-05-08,22500
2006-05-09,22500
2006-05-10,22500
2006-05-11,22500
2006-05-12,22500
2006-05-15,22500
2006-05-16,22500
2006-05-17,22500
2006-05-24,22500
2006-05-25,22500
2006-05-26,22500
2006-05-29,22500
2006-05-30,22500
2006-05-31,22500
2006-06-01,22500
2006-06-02,22500
2006-06-05,22500
2006-06-06,22500
2006-06-07,22500
2006-06-08,22500
2006-06-09,22500
2006-06-12,22500
2006-06-13,22500
2006-06-14,22500
2006-06-15,22500
2006-06-16,22500
2006-06-19,22500
2006-06-20,22500
2006-06-21,22500
2006-06-22,22500
2006-06-23,22500
2006-06-26,22500
2006-06-27,22500
2006-06-28,22500
2006-06-29,22500
2006-06-30,22500
2006-07-03,22500
2006-07-04,22500
2006-07-05,22500
2006-07-06,22500
2006-07-07,22500
2006-07-10,22500
2006-07-11,22500
2006-07-12,22500
2006-07-13,22500
2006-07-14,22500
2006-07-17,22500
2006-07-18,22500
2006-07-19,22500
2006-07-20,22500
2006-07-21,22500
2006-07-24,22500
2006-07-25,22500
2006-07-26,22500
2006-07-27,22500
2006-07-28,22500
2006-07-31,22500
2006-08-01,22500
2006-08-02,22500
2006-08-03,22500
2006-08-04,22500
2006-08-07,22500
2006-08-08,22500
2006-08-09,22500
2006-08-10,22500
2006-08-11,22500
2006-08-14,22500
2006-08-15,22500
2006-08-16,22500
2007-01-04,22500
2007-01-05,22500
2007-01-08,22500
2007-01-09,22500
2007-01-10,22500
2007-01-11,22500
2007-01-12,22500
2007-01-15,22500
2007-01-16,22500
2007-01-17,22500
2007-01-18,22500
2007-01-19,22500
2007-01-22,22500
2007-01-23,22500
2007-01-24,22500
2007-01-25,22500
2007-01-26,22500
2007-01-29,22500
2007-01-30,22500
2007-01-31,22500
2007-02-01,22500
2007-02-02,22500
2007-02-05,22500
2007-02-06,22500
2007-02-07,22500
2007-02-08,22500
2007-02-12,22500
2007-02-13,22500
2007-02-14,22500
2007-02-15,22500
2007-02-16,22500
2007-02-26,22500
2007-02-27,22500
2007-02-28,22500
2007-03-01,22500
2007-03-02,22500
2007-03-05,22500
2007-03-06,22500
2007-03-07,22500
2007-03-08,22500
2007-03-12,22500
2007-03-13,22500
2007-03-14,22500
2007-03-15,66000
2007-03-16,66000
2007-03-19,66000
2007-03-20,66000
2007-03-21,66000
2007-03-22,66000
2007-03-23,66000
2007-03-26,66000
2007-03-27,66000
2007-03-28,66000
2007-03-29,66000
2007-03-30,66000
2007-04-02,66000
2007-04-03,66000
2007-04-04,66000
2007-04-05,66000
2007-04-06,66000
2007-04-09,66000
2007-04-10,66000
2007-04-11,66000
2007-04-12,66000
2007-04-13,66000
2007-04-16,66000
2007-04-17,66000
2007-04-18,66000
2007-04-19,66000
2007-04-20,66001
2007-04-23,66000
2007-04-24,66000
2007-04-25,66000
2007-04-26,66000
2007-04-27,66000
2007-04-30,66000
2007-05-08,66000
2007-05-09,66000
2007-05-10,66000
2007-05-11,66000
2007-05-14,66000
2007-05-15,66000
2007-05-16,66000
2007-05-17,66000
2007-05-18,66000
2007-05-21,66000
2007-05-22,66000
2007-05-23,66000
2007-05-24,66000
2007-05-25,66000
2007-05-28,66000
2007-05-29,66000
2007-05-30,66000
2007-05-31,60000
2007-06-01,60000
2007-06-04,60000
2007-06-05,60000
2007-06-06,60000
2007-06-07,60000
2007-06-08,60000
2007-06-11,60000
2007-06-12,59000
2007-06-13,59000
2007-06-14,59000
2007-06-15,59000
2007-06-18,59000
2007-06-19,59000
2007-06-20,59000
2007-06-21,59000
2007-06-22,59000
2007-06-25,59000
2007-06-26,59000
2007-06-27,59000
2007-06-28,59000
2007-06-29,59000
2007-07-02,59000
2007-07-03,59000
2007-07-04,59000
2007-07-05,59000
2007-07-06,59000
2007-07-09,59000
2007-07-10,59000
2007-07-11,59000
2007-07-12,59000
2007-07-13,59000
2007-07-16,59000
2007-07-17,59000
2007-07-19,59000
2007-07-20,59000
2007-07-23,59000
2007-07-24,59000
2007-07-25,59000
2007-07-26,59000
2007-07-27,59000
2007-07-30,59000
2007-07-31,59000
2007-08-01,59000
2007-08-02,59000
2007-08-03,59000
2007-08-06,59000
2007-08-07,53000
2007-08-08,53000
2007-08-09,53000
2007-08-10,53000
2007-08-13,53000
2007-08-14,53000
2007-08-15,53000
2007-08-16,53000
2007-08-17,53000
2007-08-20,53000
2007-08-21,53000
2007-08-22,53000
2007-08-23,53000
2007-08-24,53000
2007-08-27,53000
2007-08-28,53000
2007-08-29,53000
2007-08-30,53000
2007-08-31,53000
2007-09-03,53000
2007-09-04,53000
2007-09-05,53000
2007-09-06,53000
2007-09-07,53000
2007-09-10,53000
2007-09-11,53000
2007-09-12,53000
2007-09-13,53000
2007-09-14,53000
2007-09-17,53000
2007-09-18,53000
2007-09-19,53000
2007-09-20,53000
2007-09-21,53000
2007-09-24,53000
2007-09-25,53000
2007-09-26,53000
2007-09-27,53000
2007-09-28,53000
2007-10-08,53000
2007-10-09,53000
2007-10-10,53000
2007-10-11,53000
2007-10-12,53000
2007-10-15,53000
2007-10-16,53000
2007-10-17,53000
2007-10-18,53000
2007-10-19,53000
2007-10-22,53000
2007-10-23,53000
2007-10-24,53000
2007-10-25,53000
2007-10-26,53000
2007-10-29,53000
2007-10-30,53000
2007-10-31,53000
2007-11-01,53000
2007-11-02,53000
2007-11-05,53000
2007-11-06,53000
2007-11-07,53000
2007-11-08,53000
2007-11-09,53000
2007-11-12,36000
2007-11-13,36000
2007-11-14,36000
2007-11-15,36000
2007-11-16,36000
2007-11-19,36000
2007-11-20,36000
2007-11-21,36000
2007-11-22,36000
2007-11-23,36000
2007-11-26,36000
2007-11-27,36000
2007-11-28,36000
2007-11-29,36000
2007-11-30,36000
2007-12-03,36000
2007-12-04,36000
2007-12-05,36000
2007-12-06,36000
2007-12-07,36000
2007-12-10,36000
2007-12-11,36000
2007-12-12,36000
2007-12-13,36000
2007-12-14,36000
2007-12-17,36000
2007-12-18,36000
2007-12-19,36000
2007-12-20,36000
2007-12-21,36000
2007-12-24,36000
2007-12-25,36000
2007-12-26,36000
2007-12-27,36000
2007-12-28,36000
2008-01-02,36000
2008-01-03,36000
2008-01-04,36000
2008-01-07,36000
2008-01-08,36000
2008-01-09,36000
2008-01-10,36000
2008-01-11,36000
2008-01-14,36000
2008-01-15,36000
2008-01-16,36000
2008-01-17,36000
2008-01-18,36000
2008-01-21,52500
2008-01-22,52500
2008-01-23,52500
2008-01-24,52500
2008-01-25,52500
2008-01-28,52500
2008-01-29,52500
2008-01-30,52500
2008-01-31,52500
2008-02-01,52500
2008-02-04,52500
2008-02-05,52500
2008-02-13,52500
2008-02-14,52500
2008-02-15,52500
2008-02-18,52500
2008-02-19,52500
2008-02-20,52500
2008-02-21,52500
2008-02-22,52500
2008-02-25,52500
2008-02-26,52500
2008-02-27,52500
2008-02-28,52500
2008-02-29,58500
2008-03-03,58500
2008-03-04,58500
2008-03-05,58500
2008-03-06,58500
2008-03-10,58500
2008-03-11,58500
2008-03-12,58500
2008-03-13,58500
2008-03-14,58500
2008-03-17,58500
2008-03-18,58500
2008-03-19,58500
2008-03-20,58500
2008-03-21,58500
2008-03-24,58500
2008-03-25,58500
2008-03-26,58500
2008-03-27,58500
2008-03-28,58500
2008-03-31,58500
2008-04-01,58500
2008-04-02,58500
2008-04-03,58500
2008-04-07,58500
2008-04-08,58500
2008-04-09,58500
2008-04-10,58500
2008-04-11,58500
2008-04-14,58500
2008-04-15,58500
2008-04-16,58500
2008-04-17,58500
2008-04-18,58500
2008-04-21,58500
2008-04-22,58500
2008-04-23,58500
2008-04-24,58500
2008-04-25,58500
2008-04-28,58500
2008-04-29,58500
2008-04-30,58500
2008-05-05,58500
2008-05-06,58500
2008-05-07,58500
2008-05-08,58500
2008-05-09,58500
2008-05-12,58500
2008-05-13,58500
2008-05-14,58500
2008-05-15,58500
2008-05-16,58500
2008-05-19,58500
2008-05-20,58500
2008-05-21,58500
2008-05-22,58500
2008-05-23,58500
2008-05-26,58500
2008-05-27,58500
2008-05-28,58500
2008-05-29,58500
2008-05-30,58500
2008-06-02,58500
2008-06-03,58500
2008-06-04,58500
2008-06-05,58500
2008-06-06,58500
2008-06-10,58500
2008-06-11,58500
2008-06-12,58500
2008-06-13,58500
2008-06-16,58500
2008-06-17,58500
2008-06-18,58500
2008-06-19,60500
2008-06-20,60500
2008-06-23,60500
2008-06-24,60500
2008-06-25,60500
2008-06-26,60500
2008-06-27,60500
2008-06-30,60500
2008-07-01,60500
2008-07-02,60500
2008-07-03,60500
2008-07-04,60500
2008-07-07,60500
2008-07-08,60500
2008-07-09,60500
2008-07-10,60500
2008-07-11,60500
2008-07-14,60500
2008-07-15,60500
2008-07-16,60500
2008-07-17,60500
2008-07-18,60500
2008-07-21,60500
2008-07-22,60500
2008-07-23,60500
2008-07-24,60500
2008-07-25,60500
2008-07-28,60500
2008-07-29,60500
2008-07-30,60500
2008-07-31,60500
2008-08-01,60500
2008-08-04,60500
2008-08-05,60500
2008-08-06,60500
2008-08-07,60500
2008-08-08,60500
2008-08-11,60500
2008-08-12,60500
2008-08-13,60500
2008-08-14,60500
2008-08-15,60500
2008-08-18,60500
2008-08-19,60500
2008-08-20,60500
2008-08-21,60500
2008-08-22,60500
2008-08-25,60500
2008-08-26,60500
2008-08-27,60500
2008-08-28,60500
2008-08-29,60500
2008-09-01,60500
2008-09-02,60500
2008-09-03,60500
2008-09-04,60500
2008-09-05,60500
2008-09-08,60500
2008-09-09,60500
2008-09-10,60500
2008-09-11,60500
2008-09-12,60500
2008-09-16,60500
2008-09-17,60500
2008-09-18,60500
2008-09-19,60500
2008-09-22,60500
2008-09-23,60500
2008-09-24,60500
2008-09-25,60500
2008-09-26,60500
2008-10-06,60500
2008-10-07,60500
2008-10-08,60500
2008-10-09,60500
2008-10-10,60500
2008-10-13,60500
2008-10-14,60500
2008-10-15,60500
2008-10-16,60500
2008-10-17,60500
2008-10-20,60500
2008-10-21,60500
2008-10-22,60500
2008-10-23,60500
2008-10-24,60500
2008-10-27,60500
2008-10-28,60500
2008-10-29,60500
2008-10-30,60500
2008-10-31,60500
2008-11-03,60500
2008-11-04,60500
2008-11-05,60500
2008-11-06,60500
2008-11-07,60500
2008-11-10,60500
2008-11-11,42000
2008-11-12,42000
2008-11-13,42000
2008-11-14,42000
2008-11-17,42000
2008-11-18,42000
2008-11-19,42000
2008-11-20,42000
2008-11-21,42000
2008-11-24,42000
2008-11-25,42000
2008-11-26,42000
2008-11-27,42000
2008-11-28,42000
2008-12-01,42000
2008-12-02,42000
2008-12-03,42000
2008-12-04,42000
2008-12-05,42000
2008-12-08,42000
2008-12-09,42000
2008-12-10,42000
2008-12-11,42000
2008-12-12,42000
2008-12-15,42000
2008-12-16,42000
2008-12-17,42000
2008-12-18,42000
2008-12-19,42000
2008-12-22,42000
2008-12-23,42000
2008-12-24,42000
2008-12-25,42000
2008-12-26,39000
2008-12-29,39000
2008-12-30,39000
2008-12-31,39000
2009-01-05,39000
2009-01-06,39000
2009-01-07,39000
2009-01-08,39000
2009-01-09,39000
2009-01-12,39000
2009-01-13,39000
2009-01-14,39000
2009-01-15,39000
2009-01-16,40500
2009-01-19,40500
2009-01-20,40500
2009-01-21,40500
2009-01-22,40500
2009-01-23,40500
2009-02-02,40500
2009-02-03,40500
2009-02-04,40500
2009-02-05,40500
2009-02-06,40500
2009-02-09,40500
2009-02-10,40500
2009-02-11,40500
2009-02-12,40500
2009-02-13,40500
2009-02-16,40500
2009-02-17,40500
2009-02-18,40500
2009-02-19,40500
2009-02-20,40500
2009-02-23,40500
2009-02-24,40500
2009-02-25,40500
2009-02-26,40500
2009-02-27,40500
2009-03-02,40500
2009-03-03,40500
2009-03-04,40500
2009-03-05,40500
2009-03-06,40500
2009-03-09,40500
2009-03-10,40500
2009-03-11,40500
2009-03-12,40500
2009-03-13,40500
2009-03-16,40500
2009-03-17,40500
2009-03-18,40500
2009-03-19,40500
2009-03-20,40500
2009-03-23,40500
2009-03-24,40500
2009-03-25,40500
2009-03-26,40500
2009-03-27,40500
2009-03-30,40500
2009-03-31,40500
2009-04-01,40500
2009-04-02,40500
2009-04-03,40500
2009-04-07,40500
2009-04-08,40500
2009-04-09,40500
2009-04-10,40500
2009-04-13,40500
2009-04-14,40500
2009-04-15,40500
2009-04-16,40500
2009-04-17,40500
2009-04-20,40500
2009-04-21,40500
2009-04-22,40500
2009-04-23,40500
2009-04-24,40500
2009-04-27,40500
2009-04-28,40500
2009-04-29,40500
2009-04-30,42000
2009-05-04,42000
2009-05-05,42000
2009-05-06,42000
2009-05-07,42000
2009-05-08,42000
2009-05-11,42000
2009-05-12,42000
2009-05-13,42000
2009-05-14,42000
2009-05-15,42000
2009-05-18,42000
2009-05-19,42000
2009-05-20,42000
2009-05-21,42000
2009-05-22,42000
2009-05-25,42000
2009-05-26,42000
2009-05-27,42000
2009-06-01,42000
2009-06-02,42000
2009-06-03,42000
2009-06-04,42000
2009-06-05,42000
2009-06-08,42000
2009-06-09,42000
2009-06-10,42000
2009-06-11,42000
2009-06-12,42000
2009-06-15,42000
2009-06-16,42000
2009-06-17,42000
2009-06-18,42000
2009-06-19,42000
2009-06-22,42000
2009-06-23,42000
2009-06-24,42000
2009-06-25,42000
2009-06-26,42500
2009-06-29,42500
2009-06-30,42500
2009-07-01,42500
2009-07-02,42500
2009-07-03,42500
2009-07-06,42500
2009-07-07,42500
2009-07-08,42500
2009-07-09,42500
2009-07-10,42500
2009-07-13,42500
2009-07-14,42500
2009-07-15,42500
2009-07-16,42500
2009-07-17,42500
2009-07-20,42500
2009-07-21,42500
2009-07-22,42500
2009-07-23,42500
2009-07-24,42500
2009-07-27,42500
2009-07-28,42500
2009-07-29,42500
2009-07-30,42500
2009-07-31,42500
2009-08-03,42500
2009-08-04,42500
2009-08-05,42500
2009-08-06,42500
2009-08-07,42500
2009-08-10,42500
2009-08-11,42500
2009-08-12,42500
2009-08-13,42500
2009-08-14,42500
2009-08-17,42500
2009-08-18,42500
2009-08-19,42500
2009-08-20,42500
2009-08-21,42500
2009-08-24,42500
2009-08-25,42500
2009-08-26,42500
2009-08-27,42500
2009-08-28,42500
2009-08-31,42500
2009-09-01,42500
2009-09-02,42500
2009-09-04,42500
2009-09-07,42500
2009-09-08,42500
2009-09-09,42500
2009-09-10,42500
2009-09-11,42500
2009-09-14,42500
2009-09-15,42500
2009-09-16,42500
2009-09-17,42500
2009-09-18,42500
2009-09-21,42500
2009-09-22,42500
2009-09-23,42500
2009-09-24,42500
2009-09-25,42500
2009-09-28,42500
2009-09-29,42500
2009-09-30,42500
2009-10-09,42500
2009-10-12,42500
2009-10-13,42500
2009-10-14,42500
2009-10-15,42500
2009-10-16,42500
2009-10-19,42500
2009-10-20,42500
2009-10-21,42500
2009-10-22,42500
2009-10-23,42500
2009-10-26,42500
2009-10-27,42500
2009-10-28,42500
2009-10-29,42500
2009-10-30,42500
2009-11-02,42500
2009-11-03,42500
2009-11-04,42500
2009-11-05,42500
2009-11-06,42500
2009-11-09,42500
2009-11-10,42500
2009-11-11,42500
2009-11-12,42500
2009-11-13,42500
2009-11-16,42500
2009-11-17,42500
2009-11-18,42500
2009-11-19,42500
2009-11-20,42500
2009-11-23,42500
2009-11-24,42500
2009-11-25,42500
2009-11-26,42500
2009-11-27,42500
2009-11-30,42500
2009-12-01,42500
2009-12-02,42500
2009-12-03,42500
2009-12-04,42500
2009-12-07,42500
2009-12-08,42500
2009-12-09,42500
2009-12-10,42500
2009-12-11,42500
2009-12-14,42500
2009-12-15,42500
2009-12-16,42500
2009-12-17,42500
2009-12-18,42500
2009-12-21,42500
2009-12-22,42500
2009-12-23,42500
2009-12-24,42500
2009-12-25,42500
2009-12-28,42500
2009-12-29,42500
2009-12-30,42500
2009-12-31,42500
2010-01-04,42500
2010-01-05,42500
2010-01-06,42500
2010-01-07,42500
2010-01-08,42500
2010-01-11,42500
2010-01-12,42500
2010-01-13,42500
2010-01-14,42500
2010-01-15,42500
2010-01-18,42500
2010-01-19,42500
2010-01-20,42500
2010-01-21,42500
2010-01-22,42500
2010-01-25,42500
2010-01-26,42500
2010-01-27,42500
2010-01-28,42500
2010-01-29,42500
2010-02-01,42500
2010-02-02,42500
2010-02-03,42500
2010-02-04,42500
2010-02-05,42500
2010-02-08,42500
2010-02-09,42500
2010-02-10,42500
2010-02-11,42500
2010-02-12,42500
2010-02-22,42500
2010-02-23,42500
2010-02-24,42500
2010-02-25,42500
2010-02-26,42500
2010-03-01,42500
2010-03-02,42500
2010-03-03,42500
2010-03-04,42500
2010-03-05,42500
2010-03-08,42500
2010-03-09,42500
2010-03-10,42500
2010-03-11,42500
2010-03-12,42500
2010-03-15,42500
2010-03-16,42500
2010-03-17,42500
2010-03-18,42500
2010-03-19,42500
2010-03-22,42500
2010-03-23,42500
2010-03-24,42500
2010-03-25,42500
2010-03-26,42500
2010-03-29,42500
2010-03-30,42500
2010-03-31,42500
2010-04-01,42500
2010-04-02,42500
2010-04-06,42500
2010-04-07,42500
2010-04-09,42500
2010-04-12,42500
2010-04-13,42500
2010-04-14,42500
2010-04-15,42500
2010-04-16,42500
2010-04-19,42500
2010-04-20,42500
2010-04-22,42500
2010-04-23,42500
2010-04-26,42500
2010-04-27,42500
2010-04-28,42500
2010-04-29,42500
2010-04-30,40500
2010-05-04,40500
2010-05-05,40500
2010-05-06,40500
2010-05-07,40500
2010-05-10,40500
2010-05-11,40500
2010-05-12,40500
2010-05-13,40500
2010-05-14,40500
2010-05-17,40500
2010-05-18,40500
2010-05-19,40500
2010-05-20,40500
2010-05-21,40500
2010-05-24,40500
2010-05-25,40500
2010-05-26,40500
2010-05-27,40500
2010-05-28,40500
2010-05-31,40500
2010-06-01,40500
2010-06-02,40500
2010-06-03,40500
2010-06-04,40500
2010-06-07,40500
2010-06-08,40500
2010-06-09,40500
2010-06-10,40500
2010-06-11,40500
2010-06-17,40500
2010-06-18,40500
2010-06-21,40500
2010-06-22,40500
2010-06-23,40500
2010-06-24,40500
2010-06-25,40500
2010-06-28,40500
2010-06-29,40500
2010-06-30,40500
2010-07-01,40500
2010-07-02,40500
2010-07-05,40500
2010-07-06,40500
2010-07-07,40500
2010-07-08,40500
2010-07-09,40500
2010-07-12,40500
2010-07-13,40500
2010-07-14,40500
2010-07-15,40500
2010-07-16,40500
2010-07-19,40500
2010-07-20,40500
2010-07-21,39000
2010-07-22,39000
2010-07-23,39000
2010-07-26,39000
2010-07-27,39000
2010-07-28,39000
2010-07-29,39000
2010-07-30,39000
2010-08-02,39000
2010-08-03,39000
2010-08-04,39000
2010-08-05,39000
2010-08-06,39000
2010-08-09,39000
2010-08-10,39000
2010-08-11,39000
2010-08-12,39000
2010-08-13,39000
2010-08-16,38000
2010-08-17,38000
2010-08-18,38000
2010-08-19,38000
2010-08-20,38000
2010-08-23,38000
2010-08-24,38000
2010-08-25,38000
2010-08-26,38000
2010-08-27,38000
2010-08-30,38000
2010-08-31,38000
2010-09-01,38000
2010-09-02,38000
2010-09-03,38000
2010-09-06,38000
2010-09-07,38000
2010-09-08,38000
2010-09-09,38000
2010-09-10,38000
2010-09-13,38000
2010-09-14,38000
2010-09-15,38000
2010-09-16,38000
2010-09-17,38000
2010-09-20,38000
2010-09-21,38000
2010-09-27,38000
2010-09-28,38000
2010-09-29,38000
2010-09-30,38000
2010-10-08,38000
2010-10-11,38000
2010-10-12,38000
2010-10-13,38000
2010-10-14,38000
2010-10-15,38000
2010-10-18,38000
2010-10-19,38000
2010-10-20,38000
2010-10-21,38000
2010-10-22,38000
2010-10-25,38000
2010-10-26,38000
2010-10-27,38000
2010-10-28,38000
2010-10-29,38000
2010-11-01,38000
2010-11-02,38000
2010-11-03,38000
2010-11-04,38000
2010-11-05,38000
2010-11-08,38000
2010-11-09,38000
2010-11-10,38000
2010-11-11,38000
2010-11-12,38000
2010-11-15,38000
2010-11-16,38000
2010-11-17,38000
2010-11-18,38000
2010-11-19,38000
2010-11-22,38000
2010-11-23,38000
2010-11-24,38000
2010-11-25,38000
2010-11-26,38000
2010-11-29,38000
2010-11-30,38000
2010-12-01,38000
2010-12-02,38000
2010-12-03,38000
2010-12-06,38000
2010-12-07,38000
2010-12-08,38000
2010-12-09,38000
2010-12-10,38000
2010-12-13,38000
2010-12-14,38000
2010-12-15,38000
2010-12-16,38000
2010-12-17,38000
2010-12-20,38000
2010-12-21,38000
2010-12-22,38000
2010-12-23,38000
2010-12-24,38000
2010-12-27,38000
2010-12-28,38000
2010-12-29,38000
2010-12-30,38000
2010-12-31,38000
2011-01-04,38000
2011-01-05,38000
2011-01-06,38000
2011-01-07,38000
2011-01-10,38000
2011-01-11,38000
2011-01-12,38000
2011-01-13,38000
2011-01-14,38000
2011-01-17,38000
2011-01-18,38000
2011-01-19,38000
2011-01-20,38000
2011-01-21,38000
2011-01-24,38000
2011-01-25,38000
2011-01-26,38000
2011-01-27,38000
2011-01-28,38000
2011-01-31,38000
2011-02-01,38000
2011-02-09,38000
2011-02-10,38000
2011-02-11,38000
2011-02-14,38000
2011-02-15,38000
2011-02-16,38000
2011-02-17,38000
2011-02-18,38000
2011-02-21,38000
2011-02-22,38000
2011-02-23,38000
2011-02-24,38000
2011-02-25,38000
2011-02-28,38000
2011-03-01,38000
2011-03-02,38000
2011-03-03,38000
2011-03-04,38000
2011-03-07,38000
2011-03-08,38000
2011-03-09,38000
2011-03-10,38000
2011-03-11,38000
2011-03-14,38000
2011-03-15,38000
2011-03-16,38000
2011-03-17,38000
2011-03-18,38000
2011-03-21,38000
