"Date","Price","Open","High","Low","Vol.","Change %"
"02/22/2022","23,279.21","23,036.22","23,605.29","23,003.49","","1.32%"
"02/21/2022","22,977.05","22,839.81","23,089.10","22,615.71","","0.60%"
"02/18/2022","22,839.81","22,773.63","22,860.61","22,645.04","","0.34%"
"02/17/2022","22,762.91","22,465.44","22,876.35","22,310.40","","1.42%"
"02/16/2022","22,444.01","22,437.71","22,573.84","22,338.13","","0.24%"
"02/15/2022","22,389.81","22,478.04","22,624.26","22,078.47","","-0.20%"
"02/14/2022","22,433.93","22,436.45","23,123.41","22,209.56","","0.78%"
"02/11/2022","22,261.24","22,495.69","22,576.36","22,030.58","","-0.94%"
"02/10/2022","22,473.00","22,312.92","22,775.52","22,272.59","","0.86%"
"02/09/2022","22,281.41","21,982.68","22,333.09","21,821.34","","2.22%"
"02/08/2022","21,797.39","22,372.16","22,398.63","21,531.43","","-2.53%"
"02/07/2022","22,363.34","22,348.22","22,581.40","22,063.35","","1.81%"
"02/04/2022","21,965.03","21,844.03","22,054.52","21,807.47","","0.69%"
"02/03/2022","21,815.03","21,816.29","21,891.92","21,746.97","","-0.26%"
"02/02/2022","21,871.76","21,743.19","21,949.91","21,668.82","","0.50%"
"02/01/2022","21,763.35","21,333.53","21,881.84","21,225.13","","2.18%"
"01/31/2022","21,299.50","21,344.88","21,591.93","21,022.20","","-0.25%"
"01/28/2022","21,353.70","21,551.60","21,551.60","21,279.33","","-1.16%"
"01/27/2022","21,604.54","21,463.36","21,831.42","21,372.61","","1.03%"
"01/25/2022","21,385.21","21,225.13","21,586.89","21,058.75","","-0.47%"
"01/24/2022","21,486.05","22,310.40","22,556.19","21,261.69","","-5.00%"
"01/21/2022","22,617.96","22,184.35","22,688.54","21,982.68","","1.42%"
"01/20/2022","22,301.58","21,748.28","22,712.01","21,738.26","","3.45%"
"01/19/2022","21,557.79","20,749.02","21,600.17","20,633.12","","4.52%"
"01/18/2022","20,625.65","20,595.74","20,741.54","20,517.23","","0.66%"
"01/17/2022","20,489.81","20,276.71","20,540.91","20,263.01","","0.78%"
"01/14/2022","20,331.55","20,250.54","20,610.69","20,158.33","","0.59%"
"01/13/2022","20,213.16","20,130.91","20,265.50","20,101.00","","0.31%"
"01/12/2022","20,150.85","20,062.37","20,373.92","19,990.09","","0.97%"
"01/11/2022","19,956.44","19,421.83","20,026.23","19,421.83","","2.05%"
"01/10/2022","19,555.17","19,689.76","19,739.61","19,492.86","","0.14%"
"01/07/2022","19,527.76","19,415.60","19,697.24","19,408.12","","0.80%"
"01/06/2022","19,373.23","19,403.14","19,474.17","19,228.67","","-0.75%"
"01/05/2022","19,519.03","19,714.68","19,772.01","19,403.14","","-1.27%"
"01/04/2022","19,769.52","19,415.60","19,824.35","19,393.17","","1.01%"
"01/03/2022","19,572.62","19,527.76","19,648.64","19,490.37","","0.06%"
"12/31/2021","19,560.16","19,435.54","19,614.99","19,396.91","","0.60%"
"12/30/2021","19,443.01","19,515.29","19,526.51","19,340.83","","-0.12%"
"12/29/2021","19,465.45","19,191.29","19,495.35","18,980.68","","0.73%"
"12/28/2021","19,324.63","19,253.59","19,465.45","19,253.59","","-0.06%"
"12/27/2021","19,337.09","19,284.75","19,448.00","19,163.87","","0.25%"
"12/24/2021","19,288.49","19,278.52","19,362.01","19,203.75","","0.14%"
"12/23/2021","19,261.07","19,236.28","19,396.78","19,182.37","","0.23%"
"12/22/2021","19,216.46","19,064.78","19,253.45","19,057.38","","1.02%"
"12/21/2021","19,021.62","18,892.13","19,040.11","18,881.03","","1.12%"
"12/20/2021","18,810.74","19,042.58","19,059.84","18,702.22","","-1.47%"
"12/17/2021","19,090.67","19,188.09","19,210.29","19,042.58","","0.11%"
"12/16/2021","19,069.71","18,876.10","19,137.53","18,847.74","","1.52%"
"12/15/2021","18,783.61","18,959.96","19,003.12","18,699.76","","-1.17%"
"12/14/2021","19,006.82","19,052.44","19,112.87","18,904.46","","-0.51%"
"12/13/2021","19,104.24","19,210.29","19,250.98","19,004.35","","-0.38%"
"12/10/2021","19,176.99","19,141.23","19,276.88","19,101.77","","-0.26%"
"12/09/2021","19,226.32","19,364.44","19,368.14","19,103.00","","-0.96%"
"12/08/2021","19,412.53","19,368.14","19,522.28","19,313.88","","0.44%"
"12/07/2021","19,327.44","19,022.85","19,385.40","19,010.52","","1.51%"
"12/06/2021","19,040.11","19,159.73","19,191.79","18,813.21","","-0.43%"
"12/03/2021","19,121.50","19,016.68","19,407.60","18,966.12","","0.78%"
"12/02/2021","18,973.52","18,989.55","19,082.04","18,881.03","","0.00%"
"12/01/2021","18,973.52","19,089.44","19,202.89","18,919.26","","-0.17%"
