"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2018","269.00","278.03","278.03","268.93","","-1.58%"
"02/06/2018","273.31","273.18","280.75","271.75","","-2.65%"
"02/05/2018","280.74","273.52","282.25","273.31","","2.31%"
"02/02/2018","274.40","284.15","285.99","269.74","","-4.05%"
"02/01/2018","285.98","276.37","286.14","274.32","","2.95%"
"01/31/2018","277.79","273.43","278.26","272.71","","1.87%"
"01/30/2018","272.70","282.28","282.48","271.70","","-3.28%"
"01/29/2018","281.96","285.84","286.36","278.89","","1.11%"
"01/26/2018","278.86","278.15","282.55","276.82","","-0.27%"
"01/25/2018","279.62","278.19","284.33","275.23","","0.81%"
"01/24/2018","277.36","262.26","279.46","259.91","","5.68%"
"01/23/2018","262.45","257.29","263.32","257.09","","0.69%"
"01/22/2018","260.65","259.67","262.33","258.86","","0.35%"
"01/19/2018","259.74","252.53","260.20","252.43","","2.03%"
"01/18/2018","254.56","254.23","256.99","252.70","","0.50%"
"01/17/2018","253.30","255.12","256.35","252.79","","-1.07%"
"01/16/2018","256.03","261.61","261.61","249.02","","-1.45%"
"01/12/2018","259.81","258.29","260.06","256.66","","0.83%"
"01/11/2018","257.67","261.88","264.13","256.98","","-2.44%"
"01/10/2018","264.12","260.16","269.30","258.63","","1.89%"
"01/09/2018","259.23","257.21","260.99","255.77","","1.27%"
"01/08/2018","255.97","254.94","258.93","252.18","","0.05%"
"01/05/2018","255.83","257.17","258.09","254.19","","-0.99%"
"01/04/2018","258.38","253.06","259.68","252.75","","1.90%"
"01/03/2018","253.56","255.50","257.75","252.25","","-1.62%"
"01/02/2018","257.74","255.82","262.20","255.72","","-1.13%"
"12/29/2017","260.68","251.18","260.98","248.42","","3.33%"
"12/28/2017","252.29","244.92","252.29","244.72","","1.99%"
"12/27/2017","247.36","242.09","247.81","241.89","","-0.18%"
"12/26/2017","247.80","247.80","247.80","247.80","","0.02%"
"12/22/2017","247.76","244.37","249.51","243.86","","0.51%"
"12/21/2017","246.51","244.26","247.12","242.32","","0.25%"
"12/20/2017","245.90","240.91","247.32","240.10","","2.42%"
"12/19/2017","240.09","239.48","241.62","238.15","","-0.63%"
"12/18/2017","241.61","235.56","242.01","235.56","","2.14%"
"12/15/2017","236.55","228.70","237.37","228.38","","3.80%"
"12/14/2017","227.88","229.62","229.62","225.54","","0.54%"
"12/13/2017","226.65","227.78","229.20","226.15","","0.23%"
"12/12/2017","226.14","226.95","229.61","225.37","","-1.51%"
"12/11/2017","229.60","222.19","229.60","221.83","","2.64%"
"12/08/2017","223.70","224.13","226.90","222.15","","-0.82%"
"12/07/2017","225.56","221.78","225.56","219.46","","2.18%"
"12/06/2017","220.74","221.26","223.29","219.75","","-0.55%"
"12/05/2017","221.97","230.25","232.61","221.97","","-4.57%"
"12/04/2017","232.60","232.24","234.14","230.71","","0.83%"
"12/01/2017","230.68","227.54","233.45","223.56","","1.61%"
"11/30/2017","227.02","232.67","232.67","227.02","","-3.57%"
"11/29/2017","235.43","233.78","235.43","230.60","","1.51%"
"11/28/2017","231.93","231.96","236.47","230.15","","-1.92%"
"11/27/2017","236.46","245.24","246.06","236.46","","-3.89%"
"11/24/2017","246.03","245.12","247.22","245.12","","1.65%"
"11/22/2017","242.04","238.76","244.07","238.76","","-0.25%"
"11/21/2017","242.64","238.27","242.75","237.45","","1.80%"
"11/20/2017","238.36","235.48","239.28","234.38","","0.73%"
"11/17/2017","236.63","235.09","237.02","232.02","","1.99%"
"11/16/2017","232.01","238.48","240.13","232.01","","-2.92%"
"11/15/2017","238.98","240.12","240.93","234.60","","-0.76%"
"11/14/2017","240.82","252.43","255.39","240.58","","-5.70%"
"11/13/2017","255.39","251.07","256.44","247.69","","3.12%"
"11/10/2017","247.66","252.44","254.57","247.56","","-1.55%"
"11/09/2017","251.56","257.79","259.83","249.39","","-3.18%"
"11/08/2017","259.82","259.01","260.29","256.23","","0.36%"
"11/07/2017","258.88","263.15","263.85","256.73","","-2.07%"
"11/06/2017","264.34","262.42","264.44","261.91","","1.52%"
"11/03/2017","260.38","260.50","261.83","256.10","","0.93%"
"11/02/2017","257.98","259.98","264.38","253.07","","-1.47%"
"11/01/2017","261.82","256.96","266.79","251.71","","4.02%"
"10/31/2017","251.70","238.78","252.80","231.23","","5.36%"
"10/30/2017","238.89","236.83","239.02","234.58","","0.79%"
"10/27/2017","237.01","238.19","240.50","232.43","","-1.45%"
"10/26/2017","240.49","243.14","244.42","238.54","","-0.95%"
"10/25/2017","242.79","245.70","247.33","241.45","","-1.08%"
"10/24/2017","245.44","244.26","247.27","242.65","","1.15%"
"10/23/2017","242.64","240.77","244.09","239.66","","1.05%"
"10/20/2017","240.11","242.38","248.87","238.39","","-0.04%"
"10/19/2017","240.21","239.10","241.25","237.77","","0.77%"
"10/18/2017","238.38","241.19","242.52","237.31","","-0.98%"
"10/17/2017","240.73","242.26","242.79","237.66","","-0.84%"
"10/16/2017","242.78","237.19","244.04","237.14","","1.60%"
"10/13/2017","238.95","233.95","239.89","233.38","","2.45%"
"10/12/2017","233.24","228.62","233.74","227.94","","2.33%"
"10/11/2017","227.93","225.04","229.97","222.96","","0.73%"
"10/10/2017","226.28","224.09","226.29","221.73","","0.41%"
"10/09/2017","225.36","218.62","225.36","217.65","","3.92%"
"10/06/2017","216.86","217.97","218.69","215.04","","0.63%"
"10/05/2017","215.51","217.55","219.04","215.24","","-0.76%"
"10/04/2017","217.15","219.60","221.81","217.15","","-0.07%"
"10/03/2017","217.30","214.66","220.52","213.43","","2.22%"
"10/02/2017","212.58","216.32","216.46","210.29","","-1.06%"
"09/29/2017","214.86","213.87","221.32","212.28","","0.56%"
"09/28/2017","213.66","210.32","215.40","209.45","","1.96%"
"09/27/2017","209.55","214.22","217.30","209.03","","-2.28%"
"09/26/2017","214.45","218.42","218.42","213.13","","-0.93%"
"09/25/2017","216.47","215.13","217.62","213.37","","1.46%"
"09/22/2017","213.35","219.47","225.44","213.35","","-5.36%"
"09/21/2017","225.43","229.63","233.19","221.88","","-3.32%"
"09/20/2017","233.18","229.68","235.28","228.27","","2.16%"
"09/19/2017","228.26","228.29","230.24","222.88","","-0.86%"
"09/18/2017","230.23","229.51","230.64","226.84","","1.31%"
"09/15/2017","227.25","230.21","230.26","222.34","","-0.99%"
"09/14/2017","229.53","234.05","235.65","227.97","","-1.40%"
"09/13/2017","232.80","244.67","244.67","232.35","","-5.27%"
"09/12/2017","245.75","239.28","245.75","237.58","","1.87%"
"09/11/2017","241.23","235.68","242.77","235.27","","1.49%"
"09/08/2017","237.69","251.11","253.67","235.19","","-4.62%"
"09/07/2017","249.20","250.84","252.54","246.38","","-0.13%"
"09/06/2017","249.53","246.63","250.33","244.30","","0.70%"
"09/05/2017","247.80","252.57","252.57","246.06","","0.38%"
"09/01/2017","246.87","241.61","248.09","241.46","","1.99%"
"08/31/2017","242.05","238.58","242.15","237.61","","1.87%"
"08/30/2017","237.61","239.96","241.91","237.34","","-1.09%"
"08/29/2017","240.22","242.62","243.80","235.66","","1.94%"
"08/28/2017","235.65","235.65","235.65","235.65","","0.00%"
"08/25/2017","235.64","239.82","240.44","234.23","","-2.21%"
"08/24/2017","240.96","240.94","241.70","238.33","","0.72%"
"08/23/2017","239.23","232.73","239.77","230.47","","2.13%"
"08/22/2017","234.25","232.82","237.13","231.59","","0.89%"
"08/21/2017","232.19","230.25","233.02","225.37","","3.04%"
"08/18/2017","225.35","219.61","226.85","219.51","","2.38%"
"08/17/2017","220.11","221.25","223.10","219.57","","-0.31%"
"08/16/2017","220.80","213.40","222.13","212.37","","3.97%"
"08/15/2017","212.36","214.01","215.65","212.26","","-0.96%"
"08/14/2017","214.41","218.41","218.92","213.10","","-2.00%"
"08/11/2017","218.78","222.31","225.46","216.51","","-2.96%"
"08/10/2017","225.45","222.12","225.46","220.13","","2.08%"
"08/09/2017","220.86","221.16","222.38","218.23","","1.21%"
"08/08/2017","218.23","212.62","218.23","210.65","","2.22%"
"08/07/2017","213.49","210.57","213.49","210.37","","1.46%"
"08/04/2017","210.41","212.51","213.75","208.96","","-1.24%"
"08/03/2017","213.06","213.89","214.36","210.45","","0.28%"
"08/02/2017","212.47","209.87","212.47","208.18","","0.57%"
"08/01/2017","211.27","208.12","211.40","207.14","","0.72%"
"07/31/2017","209.76","212.48","212.69","209.25","","0.10%"
"07/28/2017","209.54","209.12","211.33","205.88","","0.68%"
"07/27/2017","208.12","205.72","209.95","205.05","","0.88%"
