,NCA,LFP,NMC_standard,NMC_low_nickel,NMC_high_nickel
2023-01-01,4.67995,16.01101,0.8836,12.70208,24.085079999999998
2023-02-01,4.40726,15.522700000000002,0.8161,11.89396,22.72092
2023-03-01,3.8062700000000005,13.31935,0.7081999999999999,10.291960000000001,19.6098
2023-04-01,3.4049400000000003,11.02469,0.6219,9.094020000000002,17.39304
2023-05-01,2.87564,8.67445,0.5195000000000001,7.6184,14.58816
2023-06-01,2.9721200000000003,9.52403,0.539,7.915660000000001,15.16932
2023-07-01,3.0190200000000003,9.64313,0.5551,8.07942,15.40944
2023-08-01,2.8635800000000002,8.97617,0.5265,7.654000000000001,14.58816
2023-09-01,2.56342,7.5747599999999995,0.469,6.8174,12.990839999999999
2023-10-01,2.3208800000000003,6.598140000000001,0.4272,6.176600000000001,11.7276
2023-11-01,2.2029600000000005,6.28451,0.4106,5.89536,11.14296
2023-12-01,2.01201,5.54609,0.3703,5.34712,10.1442
