,dates,DocumentIdentifier
1999,2017-11-10 00:00:00,https://www.fnarena.com/index.php/2017/11/10/material-matters-oil-coal-lithium-nickel/
2078,2017-11-29 14:30:00,https://www.prnewswire.com/news-releases/developments-in-the-lithium-and-cobalt-markets-660761223.html
2079,2017-11-29 15:00:00,http://www.tmcnet.com/usubmit/-developments-the-lithium-cobalt-markets-/2017/11/29/8658067.htm
2083,2017-11-30 14:30:00,https://www.prnewswire.com/news-releases/research-shows-lithium-and-cobalt-demand-continues-to-grow-661012033.html
2127,2017-12-07 14:30:00,https://www.prnewswire.com/news-releases/cobalt-is-growing-as-part-of-the-lithium-ion-battery-market-662532593.html
2141,2017-12-12 00:30:00,https://www.etftrends.com/electric-vehicle-bulls-help-lithium-etf-power-on/
2170,2017-12-27 14:30:00,https://www.prnewswire.com/news-releases/data-shows-positive-developments-in-lithium-and-cobalt-markets-666785303.html
2181,2017-12-28 14:30:00,https://www.marketwatch.com/story/lithium-and-cobalt-markets-benefit-from-growing-demand-for-rechargeable-batteries-2017-12-28
2183,2017-12-28 16:30:00,http://dailytelescope.com/pr/lithium-and-cobalt-markets-benefit-from-growing-demand-for-rechargeable-batteries/38376
2184,2017-12-28 16:30:00,https://www.prnewswire.com/news-releases/lithium-and-cobalt-markets-benefit-from-growing-demand-for-rechargeable-batteries-666960613.html
2204,2018-01-08 18:45:00,https://www.prnewswire.com/news-releases/lithium-and-cobalt-markets-are-expected-to-grow-668303193.html
2208,2018-01-10 14:30:00,https://www.prnewswire.com/news-releases/data-projects-lithium-and-cobalt-markets-to-show-continued-growth-668595103.html
2236,2018-01-16 19:15:00,https://www.prnewswire.com/news-releases/lithium-and-cobalt-markets-set-to-grow-thanks-to-increasing-need-for-clean-energy-669536703.html
2278,2018-01-27 04:45:00,https://www.barrons.com/articles/lithium-and-cobalt-getting-a-jolt-from-batteries-1517020153
2280,2018-01-29 10:45:00,https://www.marketwatch.com/story/how-lithium-and-cobalt-are-getting-a-boost-from-tesla-apple-batteries-2018-01-29
2291,2018-02-02 14:30:00,https://www.prnewswire.com/news-releases/electric-vehicles-to-drive-cobalt-and-lithium-markets-672335813.html
2292,2018-02-02 14:30:00,https://www.marketwatch.com/story/electric-vehicles-to-drive-cobalt-and-lithium-markets-2018-02-02
2294,2018-02-02 15:00:00,http://forimmediaterelease.net/electric-vehicles-to-drive-cobalt-and-lithium-markets-107225/
2307,2018-02-08 22:00:00,https://www.prnewswire.com/news-releases/lithium-and-cobalt-markets-on-the-rise-with-electric-vehicles-demand-673365573.html
2308,2018-02-09 14:30:00,https://www.marketwatch.com/story/emergence-of-electric-vehicles-to-push-lithium-and-cobalt-markets-2018-02-09
2309,2018-02-09 14:30:00,https://www.prnewswire.com/news-releases/emergence-of-electric-vehicles-to-push-lithium-and-cobalt-markets-673561633.html
2321,2018-02-15 14:30:00,https://www.prnewswire.com/news-releases/emergence-of-electric-vehicles-to-push-demand-for-lithium-and-cobalt-674165683.html
2337,2018-02-21 19:45:00,https://www.prnewswire.com/news-releases/technological-innovations-set-to-push-demand-for-lithium-and-cobalt-markets-674704513.html
2356,2018-02-26 23:30:00,https://www.nasdaq.com/article/lithium-etf-powers-down-on-morgan-stanleys-dismal-forecast-cm926983
2357,2018-02-26 23:45:00,https://www.etftrends.com/lithium-etf-powers-down-on-morgan-stanleys-dismal-forecast/
2359,2018-02-27 00:00:00,http://www.foxbusiness.com/markets/lithium-etf-powers-down-on-morgan-stanleys-dismal-forecast
2362,2018-02-27 07:45:00,https://news.metal.com/newscontent/100782909/Morgan-Stanley-cuts-lithium-carbonate-price-outlook
2369,2018-02-27 23:45:00,https://www.nasdaq.com/article/why-lithium-etf-plunged-to-start-the-week-cm927732
2372,2018-02-28 02:45:00,https://news.metal.com/newscontent/100782909/Report:-Morgan-Stanley-cuts-lithium-carbonate-price-outlook
2385,2018-03-01 14:45:00,https://www.prnewswire.com/news-releases/data-shows-stronger-demand-for-lithium-and-cobalt-675529773.html
2413,2018-03-05 22:30:00,https://investingnews.com/innspired/lithium-production-clean-energy/
2419,2018-03-08 14:30:00,http://forimmediaterelease.net/demand-for-cobalt-and-lithium-projected-to-increase-as-electric-vehicles-sales-surge-170632/
2420,2018-03-08 14:30:00,https://www.prnewswire.com/news-releases/demand-for-cobalt-and-lithium-projected-to-increase-as-electric-vehicles-sales-surge-676249153.html
2434,2018-03-10 02:30:00,https://www.barrons.com/articles/chile-seeks-to-rev-up-its-lithium-production-1520647972
2465,2018-03-16 00:30:00,http://www.mining.com/new-study-rips-cobalt-lithium-price-bulls/
2473,2018-03-16 20:15:00,http://www.mining.com/electric-cars-dreams-may-shattered-2050-lack-cobalt-lithium-supplies/
2489,2018-03-20 17:30:00,https://www.prnewswire.com/news-releases/data-shows-strong-demand-for-lithium-and-cobalt-677380383.html
