Date,LiOH 56.5%
2009-01-08,39000
2009-01-09,39000
2009-01-12,39000
2009-01-13,39000
2009-01-14,39000
2009-01-15,39000
2009-01-16,40500
2009-01-19,40500
2009-01-20,40500
2009-01-21,40500
2009-01-22,40500
2009-01-23,40500
2009-02-02,40500
2009-02-03,40500
2009-02-04,40500
2009-02-05,40500
2009-02-06,40500
2009-02-09,40500
2009-02-10,40500
2009-02-11,40500
2009-02-12,40500
2009-02-13,40500
2009-02-16,40500
2009-02-17,40500
2009-02-18,40500
2009-02-19,40500
2009-02-20,40500
2009-02-23,40500
2009-02-24,40500
2009-02-25,40500
2009-02-26,40500
2009-02-27,40500
2009-03-02,40500
2009-03-03,40500
2009-03-04,40500
2009-03-05,40500
2009-03-06,40500
2009-03-09,40500
2009-03-10,40500
2009-03-11,40500
2009-03-12,40500
2009-03-13,40500
2009-03-16,40500
2009-03-17,40500
2009-03-18,40500
2009-03-19,40500
2009-03-20,40500
2009-03-23,40500
2009-03-24,40500
2009-03-25,40500
2009-03-26,40500
2009-03-27,40500
2009-03-30,40500
2009-03-31,40500
2009-04-01,40500
2009-04-02,40500
2009-04-03,40500
2009-04-07,40500
2009-04-08,40500
2009-04-09,40500
2009-04-10,40500
2009-04-13,40500
2009-04-14,40500
2009-04-15,40500
2009-04-16,40500
2009-04-17,40500
2009-04-20,40500
2009-04-21,40500
2009-04-22,40500
2009-04-23,40500
2009-04-24,40500
2009-04-27,40500
2009-04-28,40500
2009-04-29,40500
2009-04-30,41500
2009-05-04,41500
2009-05-05,41500
2009-05-06,41500
2009-05-07,41500
2009-05-08,41500
2009-05-11,41500
2009-05-12,41500
2009-05-13,41500
2009-05-14,41500
2009-05-15,41500
2009-05-18,41500
2009-05-19,41500
2009-05-20,41500
2009-05-21,41500
2009-05-22,41500
2009-05-25,41500
2009-05-26,41500
2009-05-27,41500
2009-06-01,41500
2009-06-02,41500
2009-06-03,41500
2009-06-04,41500
2009-06-05,41500
2009-06-08,41500
2009-06-09,41500
2009-06-10,41500
2009-06-11,41500
2009-06-12,41500
2009-06-15,41500
2009-06-16,41500
2009-06-17,41500
2009-06-18,41500
2009-06-19,41500
2009-06-22,41500
2009-06-23,41500
2009-06-24,41500
2009-06-25,41500
2009-06-26,40500
2009-06-29,40500
2009-06-30,40500
2009-07-01,40500
2009-07-02,40500
2009-07-03,40500
2009-07-06,40500
2009-07-07,40500
2009-07-08,40500
2009-07-09,40500
2009-07-10,40500
2009-07-13,40500
2009-07-14,40500
2009-07-15,40500
2009-07-16,40500
2009-07-17,40500
2009-07-20,40500
2009-07-21,40500
2009-07-22,40500
2009-07-23,40500
2009-07-24,40500
2009-07-27,40500
2009-07-28,40500
2009-07-29,40500
2009-07-30,40500
2009-07-31,40500
2009-08-03,40500
2009-08-04,40500
2009-08-05,40500
2009-08-06,40500
2009-08-07,40500
2009-08-10,40500
2009-08-11,40500
2009-08-12,40500
2009-08-13,40500
2009-08-14,40500
2009-08-17,40500
2009-08-18,40500
2009-08-19,40500
2009-08-20,40500
2009-08-21,40500
2009-08-24,40500
2009-08-25,40500
