Date,Open_PCRFY.US,High_PCRFY.US,Low_PCRFY.US,Close_PCRFY.US,Adjusted_close_PCRFY.US,Volume_PCRFY.US,Open_051910.KO,High_051910.KO,Low_051910.KO,Close_051910.KO,Adjusted_close_051910.KO,Volume_051910.KO,Open_006400.KO,High_006400.KO,Low_006400.KO,Close_006400.KO,Adjusted_close_006400.KO,Volume_006400.KO,Open_1211.HK,High_1211.HK,Low_1211.HK,Close_1211.HK,Adjusted_close_1211.HK,Volume_1211.HK,Open_300014.SHE,High_300014.SHE,Low_300014.SHE,Close_300014.SHE,Adjusted_close_300014.SHE,Volume_300014.SHE,Open_MRAAF.US,High_MRAAF.US,Low_MRAAF.US,Close_MRAAF.US,Adjusted_close_MRAAF.US,Volume_MRAAF.US
2009-09-28,15.06,15.26,14.77,15.14,10.9043,350814.0,250500.0,255500.0,239500.0,240500.0,205320.5957,997356.0,169000.0,170000.0,163500.0,164500.0,149915.2,686370.0,65.0,65.65,61.65,61.95,60.1443,8820350.0,,,,,,,,,,,,
2009-09-29,14.84,14.84,14.47,14.58,10.5011,344567.0,244000.0,244500.0,230000.0,232500.0,198490.8046,1106707.0,166000.0,167500.0,156500.0,157500.0,143535.8298,1045590.0,63.3,64.85,62.8,63.55,61.6976,7595736.0,,,,,,,,,,,,
2009-09-30,14.6,14.74,14.5,14.6,10.5154,154195.0,232000.0,239000.0,217500.0,219000.0,186965.532,1682484.0,156000.0,159500.0,147000.0,149000.0,135789.4517,1110656.0,63.7,65.25,62.0,63.85,61.9889,5440029.0,,,,,,,47.6111,47.6111,47.6111,47.6111,11.4198,1800.0
2009-10-01,14.37,14.4,14.02,14.02,10.0975,439762.0,222500.0,223000.0,206000.0,209000.0,178428.2931,1686800.0,149500.0,150500.0,139500.0,142000.0,129410.0815,1617070.0,,,,,,,,,,,,,,,,,,
2009-10-02,13.77,13.95,13.69,13.78,9.9248,293243.0,,,,,,,,,,,,,60.0,62.8,59.45,61.15,59.3676,8836187.0,,,,,,,,,,,,
2009-10-05,13.66,13.84,13.57,13.77,9.9175,232255.0,209000.0,213500.0,205000.0,209500.0,178855.1551,1280474.0,144000.0,148000.0,143000.0,144000.0,131232.7587,1085661.0,59.85,61.75,59.5,60.7,58.9307,5095445.0,,,,,,,,,,,,
2009-10-06,13.98,14.1,13.91,13.98,10.0688,440363.0,214500.0,218500.0,210500.0,212500.0,181416.3268,1019223.0,147500.0,149000.0,139500.0,143500.0,130777.0894,955773.0,60.85,65.55,60.85,65.25,63.3481,8549242.0,,,,,,,,,,,,
2009-10-07,13.75,13.8,13.61,13.79,9.932,516488.0,217000.0,219000.0,199000.0,205500.0,175440.2595,1698143.0,147500.0,148500.0,135000.0,135500.0,123486.3806,1301012.0,67.0,68.0,65.85,66.0,64.0762,9152387.0,,,,,,,,,,,,
2009-10-08,14.19,14.37,14.18,14.23,10.2488,247857.0,205500.0,213500.0,201500.0,213500.0,182270.0507,1008246.0,137000.0,144500.0,134000.0,144500.0,131688.428,1110235.0,68.0,68.45,66.85,68.25,66.2606,9625150.0,,,,,,,,,,,,
2009-10-09,14.16,14.16,14.0,14.1,10.1549,123429.0,215000.0,221500.0,215000.0,220000.0,187819.2559,839237.0,146500.0,151000.0,145500.0,148500.0,135333.7824,943090.0,68.65,70.45,68.5,70.35,68.2994,11615761.0,,,,,,,,,,,,
2009-10-12,14.2,14.3,14.13,14.16,10.1985,151539.0,221500.0,222000.0,210000.0,212000.0,180989.4648,709027.0,151000.0,151500.0,146500.0,148500.0,135333.7824,485221.0,71.6,72.7,70.35,72.3,70.1926,7983330.0,,,,,,,,,,,,
2009-10-13,14.02,14.02,13.77,13.86,9.9824,203963.0,210000.0,214500.0,204500.0,208000.0,177574.5693,730402.0,148500.0,149000.0,142500.0,147500.0,134422.4438,694528.0,72.3,73.3,71.3,72.95,70.8236,5263068.0,,,,,,,,,,,,
2009-10-14,13.95,14.12,13.88,14.1,10.1549,810597.0,211500.0,216000.0,208000.0,211000.0,180135.7409,777222.0,147500.0,151000.0,147500.0,150000.0,136700.7903,486648.0,73.85,74.35,73.0,73.6,71.4547,5562279.0,,,,,,,,,,,,
2009-10-15,14.01,14.19,14.01,14.09,10.1483,485833.0,212500.0,213000.0,206000.0,207000.0,176720.8454,602893.0,152500.0,153000.0,146000.0,148500.0,135333.7824,564545.0,74.85,78.05,74.85,76.6,74.3672,14530019.0,,,,,,,,,,,,
2009-10-16,13.96,14.26,13.96,14.24,10.256,355633.0,207000.0,207000.0,201000.0,205500.0,175440.2595,518605.0,148000.0,148000.0,141000.0,143000.0,130321.4201,730167.0,78.0,79.55,74.45,79.55,77.2312,40267851.0,,,,,,,,,,,,
2009-10-19,14.26,14.26,14.1,14.21,10.2345,273579.0,203000.0,205500.0,199000.0,205500.0,175440.2595,481343.0,141500.0,144500.0,137500.0,144000.0,131232.7587,626508.0,78.0,83.05,77.0,83.0,80.5807,14384773.0,,,,,,,,,,,,
2009-10-20,14.32,14.34,14.09,14.24,10.256,951818.0,208000.0,212500.0,204500.0,207000.0,176720.8454,691808.0,145000.0,147500.0,141500.0,142500.0,129865.7508,519298.0,85.0,86.4,82.0,83.2,80.7748,11411493.0,,,,,,,,,,,,
2009-10-21,14.2,14.33,13.96,14.11,10.1627,145558.0,205000.0,207000.0,200500.0,205500.0,175440.2595,471868.0,140500.0,142500.0,135000.0,137000.0,124853.3885,1172577.0,82.0,84.0,80.5,82.45,80.0467,6275910.0,,,,,,,,,,,,
2009-10-22,13.97,14.1,13.83,14.05,10.1191,159484.0,203000.0,205500.0,201000.0,204500.0,174586.5356,317631.0,135500.0,139000.0,132500.0,133500.0,121663.7034,738459.0,81.5,83.8,81.05,83.3,80.8719,5299885.0,,,,,,,,,,,,
2009-10-23,13.78,13.78,13.52,13.58,9.7808,194621.0,206500.0,214500.0,206500.0,214500.0,183123.7745,711524.0,135500.0,137500.0,133000.0,137500.0,125309.0578,869957.0,85.3,88.4,85.0,85.5,83.0078,9099005.0,,,,,,,,,,,,
2009-10-26,13.65,13.83,13.45,13.5,9.723,268957.0,213500.0,220000.0,212500.0,218000.0,186111.8082,729812.0,135500.0,140000.0,134500.0,138000.0,125764.7271,712601.0,,,,,,,,,,,,,,,,,,
2009-10-27,13.42,13.5,13.38,13.4,9.6509,113801.0,216500.0,219000.0,214000.0,218500.0,186538.6701,431281.0,137000.0,142000.0,136000.0,141000.0,128498.7429,612697.0,85.0,87.3,83.75,85.2,82.7166,7113261.0,,,,,,,,,,,,
2009-10-28,13.44,13.49,13.27,13.35,9.6148,499571.0,217500.0,218500.0,205500.0,207000.0,176720.8454,684962.0,140500.0,141000.0,134000.0,134000.0,122119.3727,560328.0,83.55,84.95,81.15,81.65,79.27,8661415.0,,,,,,,,,,,,
2009-10-29,13.69,13.96,13.66,13.9,10.0113,333935.0,203000.0,207500.0,198500.0,207500.0,177147.7073,671515.0,131000.0,138500.0,129000.0,138000.0,125764.7271,572782.0,77.5,77.95,76.0,76.65,74.4158,11790595.0,,,,,,,,,,,,
2009-10-30,14.02,14.33,14.02,14.27,10.2776,656514.0,210500.0,213000.0,207000.0,207500.0,177147.7073,422791.0,141500.0,141500.0,136500.0,137500.0,125309.0578,530745.0,77.5,80.0,72.25,72.4,70.2897,19464552.0,10.0162,15.0244,9.489,11.4078,2.3567,268658454.0,,,,,,
2009-11-02,14.3,14.3,13.945,13.97,10.0617,453129.0,200500.0,204500.0,196000.0,197000.0,168183.6065,709637.0,133500.0,138500.0,133000.0,137500.0,125309.0578,430193.0,69.8,76.0,66.6,76.0,73.7847,18185008.0,10.2666,10.8648,10.2666,10.2666,2.1209,101416262.0,,,,,,
2009-11-03,13.78,14.0,13.77,13.99,10.0761,279492.0,198500.0,199000.0,190000.0,190000.0,162207.5392,820389.0,138500.0,141000.0,137500.0,137500.0,125309.0578,683834.0,75.5,75.7,71.35,71.5,69.4159,7194312.0,10.0162,10.525,9.489,9.9556,2.0567,93010877.0,,,,,,
2009-11-04,13.99,14.0,13.7724,13.81,9.9462,223531.0,192500.0,200500.0,191500.0,200500.0,171171.6401,681741.0,138000.0,144500.0,136000.0,144500.0,131688.428,686756.0,72.75,74.4,72.2,73.1,70.9692,5497970.0,10.069,10.6752,10.0636,10.5064,2.1705,85577698.0,,,,,,
2009-11-05,13.78,13.8,13.69,13.79,9.932,1032567.0,199000.0,199500.0,192000.0,192500.0,164341.8489,519534.0,143500.0,146000.0,142500.0,142500.0,129865.7508,698870.0,73.05,75.1,71.5,72.2,70.0955,4294908.0,10.3062,11.01,10.1004,10.5222,2.1737,80400008.0,,,,,,
2009-11-06,13.79,13.97,13.78,13.93,10.0328,318053.0,198000.0,202500.0,197500.0,200000.0,170744.7781,524721.0,146500.0,148000.0,144000.0,146500.0,133511.1052,618302.0,74.5,74.95,69.85,71.1,69.0275,7890967.0,10.4644,10.5276,10.156,10.2534,2.1182,46325896.0,,,,,,
2009-11-09,13.75,13.88,13.74,13.87,9.9898,445133.0,202000.0,204500.0,200000.0,201000.0,171598.502,302599.0,148000.0,148500.0,144000.0,145000.0,132144.0973,444623.0,71.7,71.7,67.5,70.8,68.7363,10969762.0,10.2376,10.2456,9.8554,9.9978,2.0654,37468826.0,,,,,,
2009-11-10,13.53,13.66,13.41,13.6,9.7951,277977.0,205500.0,206500.0,199500.0,202000.0,172452.2259,340614.0,147000.0,148000.0,144000.0,145500.0,132599.7666,431326.0,72.0,73.05,69.9,70.75,68.6877,6363892.0,10.0954,10.0954,9.6472,9.684,2.0006,45852905.0,,,,,,
2009-11-11,13.63,13.75,13.6,13.64,9.8239,246561.0,203000.0,204000.0,199000.0,202000.0,172452.2259,322049.0,146000.0,146500.0,142500.0,145500.0,132599.7666,317233.0,71.0,71.95,69.0,70.3,68.2509,5752282.0,9.7182,10.1478,9.655,10.09,2.0844,43163606.0,,,,,,
2009-11-12,13.5,13.62,13.39,13.47,9.7015,120410.0,201500.0,202000.0,194500.0,195000.0,166476.1587,513437.0,146000.0,147000.0,141000.0,141000.0,128498.7429,416472.0,70.5,74.4,68.9,73.35,71.212,12987720.0,10.0162,10.4088,9.9424,10.14,2.0948,40193619.0,,,,,,
2009-11-13,13.42,13.62,13.42,13.54,9.7517,187611.0,195000.0,197000.0,191000.0,193500.0,165195.5728,476165.0,140500.0,142000.0,134500.0,135500.0,123486.3806,785816.0,73.6,74.5,72.8,73.9,71.7459,4738745.0,10.1902,11.139,10.14,10.8202,2.2353,84862073.0,,,,,,
2009-11-16,13.44,13.98,13.44,13.62,9.8097,219784.0,193500.0,197500.0,193000.0,196500.0,167756.7445,288590.0,136000.0,136500.0,132500.0,136500.0,124397.7192,498119.0,74.5,75.0,71.0,71.8,69.7071,6406139.0,10.807,10.9386,10.5592,10.8808,2.2478,50973709.0,,,,,,
2009-11-17,13.43,13.53,13.36,13.46,9.6941,201180.0,196500.0,197500.0,190500.0,194500.0,166049.2967,566268.0,136500.0,137500.0,129500.0,132500.0,120752.3648,815904.0,69.38,69.38,69.38,69.38,67.3577,0.0,10.807,11.2024,10.596,10.7542,2.2217,40251409.0,,,,,,
2009-11-18,13.19,13.23,13.1,13.18,9.4927,164481.0,194500.0,201500.0,193500.0,201500.0,172025.364,714919.0,132500.0,135500.0,131000.0,134500.0,122575.042,693028.0,67.0,67.75,63.6,64.6,62.717,20928350.0,10.7542,11.2338,10.6224,11.0178,2.2761,60750522.0,,,,,,
2009-11-19,12.86,12.93,12.62,12.72,9.1614,356480.0,202000.0,211000.0,200500.0,209000.0,178428.2931,866419.0,134500.0,138500.0,134500.0,137500.0,125309.0578,646998.0,63.0,64.1,62.0,62.8,60.9695,10020674.0,10.9914,12.0934,10.8994,11.5872,2.3937,92177982.0,,,,,,
2009-11-20,12.97,13.44,12.86,13.0,9.363,184521.0,208000.0,210500.0,205500.0,210000.0,179282.017,339190.0,136500.0,137500.0,133500.0,136500.0,124397.7192,510204.0,65.4,65.4,65.4,65.4,63.4937,0.0,11.4132,11.7136,11.2552,11.3842,2.3518,47689710.0,,,,,,
2009-11-23,13.21,13.22,13.05,13.09,9.4276,141383.0,209000.0,211000.0,206000.0,208000.0,177574.5693,293834.0,135500.0,135500.0,132000.0,133000.0,121208.0341,469639.0,67.6,67.9,63.7,64.8,62.9112,6448274.0,11.4132,11.7136,11.2944,11.5158,2.379,40534299.0,,,,,,
2009-11-24,12.74,12.88,12.68,12.72,9.1614,169331.0,209000.0,209000.0,204000.0,204000.0,174159.6737,259423.0,134500.0,134500.0,132500.0,133000.0,121208.0341,302810.0,64.8,65.2,63.0,63.9,62.0374,6070059.0,11.5398,11.6242,10.3642,10.438,2.1563,66080685.0,,,,,,
2009-11-25,12.81,12.87,12.75,12.87,9.269,114132.0,204000.0,205500.0,200000.0,204000.0,174159.6737,310734.0,134000.0,134500.0,131500.0,134500.0,122575.042,232598.0,64.2,67.05,64.2,66.5,64.5616,9742212.0,10.3852,11.0574,10.3326,10.9732,2.2669,42961383.0,,,,,,
2009-11-26,,,,,,,203500.0,211000.0,202000.0,207500.0,177147.7073,498598.0,133000.0,135500.0,132500.0,132500.0,120752.3648,276371.0,67.35,68.5,65.5,66.3,64.3675,5902500.0,10.9386,11.3026,10.7674,11.1576,2.305,54470022.0,,,,,,
2009-11-27,12.57,12.82,12.4,12.55,9.039,153249.0,203500.0,205500.0,198500.0,200000.0,170744.7781,591544.0,129000.0,131000.0,124000.0,125500.0,114372.9945,556293.0,68.4,68.4,63.7,63.8,61.9403,12513005.0,11.031,11.5924,10.807,11.1628,2.3061,52358078.0,,,,,,
2009-11-30,12.7,12.86,12.7,12.77,9.1975,179022.0,204500.0,209500.0,203000.0,209500.0,178855.1551,539387.0,129500.0,129500.0,126000.0,126500.0,115284.3331,426405.0,66.3,67.95,65.3,67.75,65.7752,7256640.0,11.3368,11.4528,10.807,11.2816,2.3306,36188190.0,,,,,,
2009-12-01,13.0,13.33,12.97,13.28,9.5647,709469.0,208500.0,217000.0,208000.0,217000.0,185258.0843,726385.0,125500.0,132500.0,125000.0,132500.0,120752.3648,516416.0,69.5,74.3,68.4,74.15,71.9886,14709236.0,11.2552,11.5924,11.0968,11.5054,2.3769,46364890.0,,,,,,
2009-12-02,13.25,13.38,13.25,13.34,9.6079,227973.0,222500.0,228500.0,221000.0,225000.0,192087.8754,1198231.0,134000.0,141000.0,133500.0,140000.0,127587.4043,1039235.0,74.45,77.9,72.6,73.3,71.1634,13170307.0,11.5108,12.117,11.4132,11.7796,2.4335,69727611.0,,,,,,
2009-12-03,13.79,13.97,13.79,13.83,9.9607,316820.0,225000.0,229000.0,224000.0,228000.0,194649.0471,521254.0,141000.0,142500.0,139000.0,142500.0,129865.7508,592838.0,74.44,74.44,74.44,74.44,72.2702,0.0,11.6766,12.4674,11.6028,12.4674,2.5756,83053967.0,,,,,,
2009-12-04,14.12,14.294,14.1,14.21,10.2345,538155.0,227500.0,230500.0,226000.0,228500.0,195075.909,406117.0,141500.0,144000.0,141000.0,143500.0,130777.0894,358314.0,74.5,77.2,74.5,76.5,74.2701,8691785.0,11.9932,12.2514,11.2206,11.4528,2.366,79297710.0,,,,,,
2009-12-07,13.93,14.1,13.86,13.94,10.0401,296386.0,228500.0,230000.0,224500.0,225500.0,192514.7373,394720.0,143500.0,144000.0,140000.0,141000.0,128498.7429,304482.0,75.9,75.9,75.9,75.9,73.6876,0.0,11.3604,11.7504,11.2156,11.653,2.4073,30987555.0,,,,,,
2009-12-08,14.12,14.19,14.06,14.13,10.1769,282955.0,226500.0,228500.0,225500.0,227000.0,193795.3232,318234.0,140500.0,144500.0,140000.0,141500.0,128954.4122,551190.0,75.55,76.2,72.8,73.0,70.8722,5724731.0,11.7136,12.5044,11.5186,12.3066,2.5424,59767628.0,,,,,,
